date,revenue_actual,revenue_predicted
2023-04-14,126411,147474.56
2022-05-29,151045,156987.78
2022-10-30,118567,147081.89
2022-12-22,177406,146664.61
2023-05-31,148302,142655.61
2022-09-24,126937,117242.836
2022-03-14,169431,149531.44
2022-03-23,178223,151752.45
2022-05-14,135734,148952.7
2022-12-09,143980,143832.25
2022-12-11,121959,138319.3
2023-12-12,134589,151131.47
2022-03-20,147810,144983.53
2023-03-10,133585,121133.836
2022-07-24,135185,160948.53
2022-03-28,128334,146614.77
2023-04-10,142374,150299.25
2022-02-03,143094,139308.27
2023-08-11,143986,151797.95
2022-04-29,167679,149333.61
2023-01-18,153449,150614.16
2023-03-07,163199,151672.81
2022-09-12,141356,150372.7
2023-04-29,164234,154240.98
2022-07-19,143737,150089.77
2022-08-09,140663,147866.8
2022-10-27,140184,148284.03
2022-02-09,176543,149374.42
2022-08-20,168235,146169.97
2022-12-30,146786,147509.55
2022-12-13,167357,148674.3
2022-09-17,162464,149585.61
2022-02-24,162909,152952.47
2022-03-07,163046,153160.06
2023-03-24,174600,150590.23
2022-07-12,146185,148229.53
2023-01-11,182527,145031.0
2022-04-12,128251,148502.86
2022-01-11,100000,151823.62
2023-09-29,149018,140598.25
2022-12-23,134389,146365.64
2023-12-18,176322,151848.12
2022-06-24,144708,158892.9
2023-10-12,135628,147009.89
2022-07-16,146864,155089.86
2022-10-03,155735,154910.86
2023-05-28,159201,155244.31
2023-03-13,98588,130403.29
2022-08-24,154078,150937.25
2023-06-07,148743,146285.5
2023-03-11,158459,143530.83
2022-04-20,159047,150567.17
2023-11-11,177139,142636.12
2023-11-20,125821,138332.17
2023-11-28,160181,151139.62
2023-08-17,147904,118023.19
2023-03-06,123964,149745.39
2023-04-03,152977,149028.81
2022-08-04,113191,147008.0
2022-07-28,138245,155763.14
2023-12-22,131296,139706.12
2022-08-02,132049,149469.03
2022-06-05,129205,147123.61
2022-08-16,167216,147063.44
2023-02-10,169560,150295.56
2022-12-17,165195,142781.62
2022-03-05,160388,142610.02
2023-09-16,147645,146099.98
2022-03-19,124870,125466.09
2022-02-19,156395,153848.7
2023-04-25,173499,147515.5
2023-11-14,149466,152055.67
2022-11-21,151040,149529.86
2022-04-08,164168,145861.55
2023-07-23,147261,154774.7
2023-02-14,148192,147991.38
2022-01-24,144894,149178.72
2022-08-12,151919,151677.45
2022-12-18,150742,138928.42
2023-03-25,179509,153548.33
2023-05-27,161871,161123.81
2023-03-09,188930,147940.58
2023-01-04,166761,148676.08
2022-09-02,166498,147757.45
2022-09-23,170510,142899.31
2022-10-28,157728,141794.36
2023-08-03,145828,146133.23
2022-05-01,165582,144447.64
2022-01-31,149595,153059.78
2023-08-28,150149,147193.44
2023-11-09,131627,147217.31
2023-03-01,157793,146124.78
2022-12-01,149757,145538.17
2023-02-03,149498,143526.66
2022-06-15,120649,110948.15
2022-12-16,127633,144183.06
2023-09-25,116155,118891.7
2023-06-27,142081,145201.73
2022-06-08,143395,143613.47
2022-03-26,166327,151685.28
2022-03-21,131180,145770.27
2023-06-13,159634,149911.53
2022-10-14,135918,145241.39
2022-11-23,141624,146568.12
2023-12-28,118292,131577.92
2022-02-01,149640,148915.72
2023-02-27,147196,147988.36
2022-09-06,132148,152101.69
2023-12-19,160810,148847.45
2023-02-22,160946,155416.22
2023-04-13,140680,146369.47
2023-07-26,108353,142606.69
2022-02-25,123003,163240.36
2023-08-18,144212,148904.27
2023-05-03,144871,146080.53
2022-12-28,139695,148659.97
2023-08-23,191025,150730.3
2023-03-26,164881,160506.92
2022-03-18,141097,153510.56
2022-01-03,149789,152921.34
2023-04-16,154491,144324.94
2023-05-13,100000,147987.16
2023-06-20,138185,143232.44
2022-03-02,160458,147178.53
2023-12-27,97801,134269.05
2023-03-08,159945,144002.7
2023-01-03,144851,144025.47
2023-04-27,149066,146990.45
2023-08-13,128118,150744.89
2023-11-06,177805,151159.55
2022-06-14,158628,148383.22
2022-08-23,115190,112710.445
2023-06-02,153488,147770.81
2022-04-01,117790,146932.95
2022-12-03,125813,124926.83
2023-08-20,160358,145184.56
2022-03-11,119117,121961.9
2022-07-30,171167,162077.36
2022-05-12,132516,147161.98
2022-02-14,131452,149321.8
2022-03-12,168148,145155.64
2023-02-09,152216,147899.86
2023-01-26,154820,156460.84
2022-08-07,156572,150249.12
2022-05-16,167442,146905.17
2022-09-18,142545,122688.12
