date,revenue_actual,revenue_redicted
2023-04-14,139923,167187.06
2022-05-29,127091,180240.94
2022-10-30,103217,169023.4
2022-12-22,178631,141805.77
2023-05-31,168636,152378.6
2022-09-24,171081,142874.5
2022-03-14,149182,143023.02
2022-03-23,183539,113150.4
2022-05-14,120646,173047.67
2022-12-09,199413,136515.4
2022-12-11,188645,167775.31
2023-12-12,128227,125977.96
2022-03-20,194976,131854.84
2023-03-10,148589,128160.22
2022-07-24,159164,184853.12
2022-03-28,133820,151523.1
2023-04-10,154388,140782.86
2022-02-03,131094,128163.85
2023-08-11,108072,148892.61
2022-04-29,171976,169746.84
2023-01-18,185828,108936.18
2023-03-07,181970,135093.53
2022-09-12,184223,159484.98
2023-04-29,160268,174323.56
2022-07-19,181017,128577.95
2022-08-09,128344,125943.33
2022-10-27,174586,162921.28
2022-02-09,154397,106099.65
2022-08-20,172652,174364.1
2022-12-30,167073,174122.73
2022-12-13,185592,144071.22
2022-09-17,177737,174262.83
2022-02-24,122603,112420.695
2022-03-07,163394,98227.086
2023-03-24,119828,132855.28
2022-07-12,182519,146244.77
2023-01-11,120335,151868.19
2022-04-12,199275,112190.15
2022-01-11,103081,143680.67
2023-09-29,193523,179044.1
2022-12-23,140010,130551.78
2023-12-18,168083,109180.65
2022-06-24,153242,149895.47
2023-10-12,198129,132398.95
2022-07-16,188979,160236.06
2022-10-03,106604,149741.3
2023-05-28,102449,186124.48
2023-03-13,142755,103860.836
2022-08-24,157703,129813.734
2023-06-07,134430,158592.47
2023-03-11,123303,126707.88
2022-04-20,97098,114759.914
2023-11-11,113925,139811.28
2023-11-20,177388,154327.62
2023-11-28,159122,133823.53
2023-08-17,179264,162077.62
2023-03-06,151840,142014.81
2023-04-03,147022,150148.31
2022-08-04,144180,144879.14
2022-07-28,188443,154587.03
2023-12-22,198787,181370.72
2022-08-02,125682,131961.1
2022-06-05,134446,138309.97
2022-08-16,107300,150697.95
2023-02-10,185074,141619.22
2022-12-17,147082,161488.55
2022-03-05,159129,133992.34
2023-09-16,190016,155384.19
2022-03-19,161956,146103.23
2022-02-19,97086,154004.56
2023-04-25,158532,129334.64
2023-11-14,131254,134900.14
2022-11-21,140305,118181.62
2022-04-08,75330,150421.22
2023-07-23,139592,180351.44
2023-02-14,195797,152802.58
2022-01-24,167942,154758.11
2022-08-12,167844,163754.31
2022-12-18,152570,164323.69
2023-03-25,193931,154524.19
2023-05-27,110806,139199.88
2023-03-09,160523,123109.08
2023-01-04,183588,128318.63
2022-09-02,127775,154523.67
2022-09-23,132886,150455.33
2022-10-28,107854,155813.0
2023-08-03,120997,139490.5
2022-05-01,144707,129873.18
2022-01-31,59332,116832.2
2023-08-28,180739,165177.27
2023-11-09,105225,118933.8
2023-03-01,153943,142309.34
2022-12-01,131908,130001.04
2023-02-03,141384,109636.04
2022-06-15,151454,148309.47
2022-12-16,123002,127102.6
2023-09-25,111612,154025.31
2023-06-27,157078,119175.02
2022-06-08,171162,126999.99
2022-03-26,103546,137540.52
2022-03-21,189674,157387.36
2023-06-13,132838,145553.36
2022-10-14,193088,147869.66
2022-11-23,184811,171391.08
2023-12-28,108670,157553.81
2022-02-01,122473,147563.72
2023-02-27,124132,114541.15
2022-09-06,168820,132891.9
2023-12-19,172795,156103.0
2023-02-22,103883,147344.12
2023-04-13,126986,140961.56
2023-07-26,132555,156136.97
2022-02-25,129983,161025.28
2023-08-18,148430,144652.6
2023-05-03,124838,117918.37
2022-12-28,60815,149211.0
2023-08-23,147739,141338.23
2023-03-26,174810,166062.1
2022-03-18,172595,139282.69
2022-01-03,145434,122406.94
2023-04-16,140475,184705.16
2023-05-13,157997,142085.0
2023-06-20,125904,149174.88
2022-03-02,107584,121493.46
2023-12-27,196376,166333.25
2023-03-08,143059,118057.945
2023-01-03,194708,101180.79
2023-04-27,114923,136550.31
2023-08-13,186769,164646.44
2023-11-06,143996,102563.53
2022-06-14,136080,140398.75
2022-08-23,191385,128115.28
2023-06-02,105908,134411.03
2022-04-01,174741,122588.57
2022-12-03,127930,166819.02
2023-08-20,191224,158552.73
2022-03-11,111039,150721.34
2022-07-30,103455,151496.89
2022-05-12,100366,116992.7
2022-02-14,174389,111379.54
2022-03-12,177172,155772.5
2023-02-09,186661,118092.19
2023-01-26,154743,153704.66
2022-08-07,117688,153416.6
2022-05-16,142655,150630.02
2022-09-18,181976,151848.34
