date,ice_drink_sales_actual,ice_drink_sales_predicted
2024-06-24,180,150.80257
2024-07-10,176,176.87582
2024-04-08,97,102.81126
2024-04-22,128,106.592316
2024-05-30,93,130.093
2024-06-02,218,176.81848
2024-05-31,94,132.75655
2024-07-22,187,178.93277
2024-07-13,198,198.22961
2024-06-08,214,161.48982
2024-06-20,144,147.96516
2024-05-11,118,133.89888
2024-06-11,174,148.10262
2024-06-03,191,130.61946
2024-04-27,146,125.098656
2024-05-08,112,127.91196
2024-04-23,97,103.83617
2024-04-15,124,114.616516
2024-06-21,172,161.52171
2024-05-22,126,128.36023
2024-07-14,202,193.64525
2024-03-31,109,110.53217
2024-07-16,190,170.22722
2024-05-02,105,149.81892
2024-07-09,175,166.57301
2024-08-10,212,185.27408
2024-04-12,120,119.13407
2024-04-14,146,111.77128
