date,revenue_actual,revenue_predicted
2023-04-14,125381,119681.92
2022-05-29,105365,125831.78
2022-10-30,144133,127949.27
2022-12-22,139216,128319.02
2023-05-31,131855,125260.55
2022-09-24,109322,129778.125
2022-03-14,114151,125900.89
2022-03-23,121525,121805.38
2022-05-14,143863,119810.63
2022-12-09,118134,128824.305
2022-12-11,125131,128281.92
2023-12-12,118640,113547.02
2022-03-20,119988,121905.77
2023-03-10,138509,122568.97
2022-07-24,122746,129244.13
2022-03-28,117861,121687.945
2023-04-10,130371,125231.6
2022-02-03,118504,126016.445
2023-08-11,121779,126220.59
2022-04-29,114696,125174.4
2023-01-18,129319,122832.8
2023-03-07,122472,124006.74
2022-09-12,116623,124838.38
2023-04-29,129228,123219.72
2022-07-19,122360,121606.92
2022-08-09,127972,122630.77
2022-10-27,126412,127219.43
2022-02-09,113698,125786.88
2022-08-20,113946,125529.46
2022-12-30,83693,113129.055
2022-12-13,104775,128132.81
2022-09-17,101694,101571.38
2022-02-24,123586,121213.0
2022-03-07,128825,125951.98
2023-03-24,121005,124774.17
2022-07-12,122196,123080.37
2023-01-11,135652,125567.29
2022-04-12,92793,104869.39
2022-01-11,134046,127172.6
2023-09-29,134403,124676.54
2022-12-23,130410,126006.8
2023-12-18,116257,128587.09
2022-06-24,126233,122182.32
2023-10-12,131901,125736.22
2022-07-16,125717,120790.945
2022-10-03,128183,125208.99
2023-05-28,117755,125083.766
2023-03-13,130780,123368.51
2022-08-24,101821,97005.85
2023-06-07,118952,124568.54
2023-03-11,121337,124571.67
2022-04-20,125739,124067.02
2023-11-11,119460,127357.7
2023-11-20,112837,101938.48
2023-11-28,120866,127407.484
2023-08-17,132189,126868.64
2023-03-06,127526,125888.22
2023-04-03,128078,125692.12
2022-08-04,116239,125262.23
2022-07-28,107528,124623.28
2023-12-22,117250,111854.07
2022-08-02,102620,101067.11
2022-06-05,113585,125939.14
2022-08-16,116088,126184.61
2023-02-10,129637,123021.85
2022-12-17,125026,126808.82
2022-03-05,125885,124908.086
2023-09-16,91222,102139.92
2022-03-19,128412,121878.31
2022-02-19,119208,124408.0
2023-04-25,118992,123913.125
2023-11-14,114321,127895.46
2022-11-21,135859,121266.05
2022-04-08,132269,124370.58
2023-07-23,116587,124404.445
2023-02-14,131458,123152.5
2022-01-24,119939,125286.84
2022-08-12,118279,126203.695
2022-12-18,133721,125736.055
2023-03-25,123227,123492.56
2023-05-27,124900,126034.79
2023-03-09,126862,122348.66
2023-01-04,126383,125421.21
2022-09-02,119456,126376.734
2022-09-23,109420,101253.71
2022-10-28,120176,127013.93
2023-08-03,89973,97500.17
2022-05-01,130273,122717.79
2022-01-31,128308,125071.555
2023-08-28,132355,127402.51
2023-11-09,119717,127527.83
2023-03-01,129522,125662.36
2022-12-01,120350,128764.66
2023-02-03,118732,124787.48
2022-06-15,114337,100151.2
2022-12-16,138038,125808.69
2023-09-25,114171,126273.65
2023-06-27,109600,125709.59
2022-06-08,124627,124810.89
2022-03-26,120189,123507.336
2022-03-21,120751,120457.66
2023-06-13,139673,125032.11
2022-10-14,130896,123573.766
2022-11-23,142596,120946.28
2023-12-28,123592,126993.29
2022-02-01,133995,126589.8
2023-02-27,138094,121786.29
2022-09-06,126659,124202.08
2023-12-19,132213,125045.69
2023-02-22,126906,125717.17
2023-04-13,108515,120703.36
2023-07-26,112247,127285.78
2022-02-25,128277,124913.875
2023-08-18,137812,127219.516
2023-05-03,122602,124563.234
2022-12-28,120154,123183.69
2023-08-23,124439,126924.414
2023-03-26,99152,108284.31
2022-03-18,84271,109952.3
2022-01-03,110777,125896.26
2023-04-16,123746,121726.92
2023-05-13,118656,120582.15
2023-06-20,138081,124684.99
2022-03-02,122260,124874.94
2023-12-27,114016,123154.266
2023-03-08,132968,120252.89
2023-01-03,88684,111689.58
2023-04-27,122027,123388.87
2023-08-13,135896,127836.445
2023-11-06,123123,125972.836
2022-06-14,128621,123794.47
2022-08-23,126109,125581.22
2023-06-02,120171,125671.69
2022-04-01,143855,124016.195
2022-12-03,135468,128233.984
2023-08-20,109073,104319.66
2022-03-11,131159,123278.164
2022-07-30,122339,129370.88
2022-05-12,135401,124072.61
2022-02-14,144525,122665.43
2022-03-12,105742,114564.14
2023-02-09,124151,125911.76
2023-01-26,126512,124166.34
2022-08-07,127704,127415.24
2022-05-16,113803,122568.195
2022-09-18,117235,127653.055
