month,weekday,high_temp,low_temp,weather,ブレンドコーヒー,アイスコーヒー,アメリカンコーヒー,本日のおすすめコーヒー,カフェ・ラテ,豆乳ラテ,ハニーカフェ・オレ,沖縄黒糖ラテ,カフェインレスコーヒー,カフェインレスカフェ・ラテ,ティー,アイスティー,ロイヤルミルクティー,豆乳ティー,国産みかんジュース,青森県産りんごジュース,カフェ・モカ,ココア,宇治抹茶ラテ,キッチントルコライス,ビーフシチュープレート,焼きトマトのハンバーグドリア,海老とペンネのグラタン,十六穀米のミートドリア,からあげ,フライドポテト,エビアボカドサンド,ポンレスハム＆生ハムサンド,キッチンチーズドッグ,キッチンレタスドッグ,キッチンジャーマンドッグ,ピザトースト,瀬戸内海産しらすとたらこ,ナポリタン,ice_drink_sales,hot_drink_sales,accurate_revenue,revenue
3,2,7,1,0,30,29,32,25,32,38,39,50,29,31,30,28,53,37,36,45,48,38,47,86,116,74,76,107,32,32,57,54,34,37,25,40,77,70,110,92,950740,156129
3,3,8,0,0,24,21,22,36,44,49,39,64,21,33,33,25,44,42,42,36,41,35,46,103,59,68,99,76,34,28,72,62,31,44,43,41,90,87,99,130,947380,160532
3,4,5,-3,0,32,38,29,17,44,45,40,51,24,41,27,37,53,32,39,27,50,48,27,131,117,91,63,107,47,25,54,47,35,40,34,43,84,83,96,123,1017760,136493
3,5,6,-3,0,37,39,34,36,48,36,37,34,28,32,26,34,50,36,46,59,51,21,35,76,61,88,92,91,39,36,64,55,37,35,43,51,76,58,159,138,916870,153860
3,6,14,4,0,21,33,39,32,41,28,38,51,31,42,17,36,39,49,33,49,50,27,52,90,90,86,86,77,43,23,40,55,40,35,37,43,78,87,148,136,943330,135208
4,0,19,12,1,20,30,24,54,41,28,52,46,33,29,16,27,48,44,40,50,46,29,38,85,98,115,116,119,40,26,45,44,40,35,22,69,81,89,104,115,1039560,162390
4,1,10,3,1,36,35,19,35,49,29,39,58,28,29,28,32,39,53,49,35,44,38,42,69,98,90,73,80,34,25,51,51,61,30,32,47,102,67,94,122,940040,130551
4,2,13,4,0,28,30,30,26,45,30,48,59,33,51,27,35,38,42,32,31,40,42,47,103,126,75,90,81,32,36,39,58,32,36,31,35,81,62,90,125,962220,142771
4,3,17,9,2,16,19,29,25,33,39,34,41,24,37,19,25,34,32,39,38,31,31,26,70,95,69,74,83,29,14,32,42,38,29,29,39,59,53,97,105,784630,127975
4,4,13,4,0,35,30,29,28,39,30,42,63,28,43,27,22,47,40,39,43,45,24,63,89,132,86,103,103,35,27,66,71,36,38,24,39,71,92,97,131,1038670,134352
4,5,13,6,1,24,17,19,48,39,44,43,54,38,47,22,41,51,45,42,43,37,32,48,83,102,88,67,101,26,34,42,80,39,54,30,33,89,65,115,145,968030,140690
4,6,15,8,0,36,22,40,49,57,28,40,45,32,47,28,39,53,47,35,49,49,43,55,101,85,99,74,94,35,20,49,59,51,45,34,45,83,87,139,130,1012640,160539
4,0,11,2,0,24,27,26,41,44,37,33,40,35,28,23,33,43,33,46,49,53,33,48,80,117,85,84,71,22,30,57,63,52,30,34,38,73,79,125,89,944680,124201
4,1,15,6,0,37,31,27,31,48,39,42,62,29,28,26,32,23,52,34,50,26,35,38,96,107,123,79,96,51,29,53,37,50,40,26,36,63,102,116,107,1002330,149070
4,2,16,7,0,35,40,29,23,36,45,62,46,36,45,24,21,45,43,31,36,43,28,45,134,93,96,87,96,54,35,52,54,30,36,43,39,96,88,106,101,1039250,124468
4,3,14,7,0,30,21,34,39,33,17,45,42,31,41,34,33,33,40,37,35,62,32,45,118,88,55,101,85,37,27,66,62,40,22,32,55,110,89,123,115,990050,151036
4,4,18,12,0,34,26,29,29,28,39,46,55,28,30,28,28,28,30,27,43,57,54,37,100,101,97,110,98,46,32,64,79,58,35,43,25,75,88,139,97,1029870,181073
4,5,14,6,0,35,29,34,39,31,51,42,58,29,26,24,40,35,40,47,46,34,38,54,139,66,125,79,101,40,21,62,37,54,33,31,53,71,70,129,150,1016300,159291
4,6,17,11,0,29,32,37,47,28,26,31,48,23,30,28,29,50,33,46,38,43,42,22,106,130,67,42,89,30,31,49,76,38,32,33,34,93,83,122,140,943870,161439
4,0,11,5,0,23,23,27,22,46,45,37,46,29,36,16,27,33,38,33,41,44,48,29,111,84,109,81,95,32,26,46,53,35,40,37,54,60,78,127,106,947200,120578
4,1,13,7,1,31,34,39,32,40,33,41,52,19,36,23,28,47,40,43,60,47,37,54,101,88,111,41,83,25,33,55,65,38,34,39,50,92,77,102,107,968740,142164
4,2,10,3,0,32,40,25,44,28,47,33,22,22,35,23,40,34,54,48,39,37,34,57,92,119,71,96,61,34,27,64,42,48,35,33,62,58,89,129,93,945570,138645
4,3,13,3,0,22,18,40,26,40,40,31,58,23,39,28,29,40,46,43,45,44,41,41,122,124,109,102,100,40,25,52,76,46,48,25,45,76,69,123,106,1063910,149993
4,4,13,6,0,23,27,35,47,35,51,38,52,24,40,26,32,45,31,36,66,50,42,43,89,106,69,117,107,43,33,57,39,31,39,40,33,76,103,105,136,1018250,171097
4,5,18,10,0,17,31,31,41,42,37,47,49,38,35,23,31,34,38,39,31,34,47,54,114,104,148,80,69,34,35,55,67,41,51,31,26,65,79,156,128,1016370,149516
4,6,10,4,0,17,31,20,44,33,36,43,49,31,27,29,46,44,42,41,38,42,30,38,88,118,88,48,103,46,24,57,44,60,47,26,55,93,74,158,114,967470,147885
4,0,16,10,1,33,32,32,40,54,50,43,48,37,28,34,27,40,43,30,44,18,36,54,78,104,109,82,148,42,32,53,50,45,43,31,44,75,107,138,95,1050130,142195
4,1,13,5,1,21,36,28,36,27,22,39,52,24,50,16,30,29,37,57,45,51,38,47,91,79,75,76,84,28,28,56,68,39,37,34,39,65,63,108,97,894150,146315
4,2,16,7,2,24,20,23,30,42,24,35,52,24,43,23,29,39,34,43,25,28,19,43,54,77,92,53,60,29,23,33,58,38,31,35,21,34,74,98,104,750190,138435
4,3,19,11,0,31,33,29,50,37,28,36,41,27,42,27,37,37,28,52,47,34,33,45,101,111,73,77,78,41,31,48,49,52,30,23,62,79,56,111,134,932140,129937
4,4,19,11,0,32,30,33,38,20,44,30,47,26,39,22,40,44,45,44,38,58,40,25,96,108,101,127,83,38,23,57,49,36,44,30,42,74,63,130,105,994840,122368
4,5,17,10,1,19,28,30,40,25,34,50,48,37,36,17,39,38,34,43,39,45,40,23,93,73,80,96,72,24,28,49,53,43,42,28,23,85,70,134,162,891920,121188
4,6,12,5,1,35,30,29,31,39,36,28,42,28,36,33,34,35,33,50,46,57,49,30,120,114,67,65,110,47,23,53,71,51,36,34,62,86,112,138,114,1036930,152144
4,0,11,1,0,34,26,37,25,39,37,43,34,31,32,34,31,48,35,53,42,41,29,55,120,119,120,79,45,47,17,56,43,32,46,30,53,100,71,93,129,1003290,134748
4,1,12,6,1,35,25,34,31,42,34,43,43,36,33,23,36,37,31,37,42,51,43,55,84,96,75,86,95,44,25,56,46,29,46,41,67,83,95,116,128,974420,141509
5,2,21,14,1,27,32,24,17,38,52,54,30,19,24,26,28,37,27,33,49,46,37,48,64,80,93,62,108,26,25,38,49,41,43,38,61,103,90,100,147,920760,159269
5,3,21,12,1,24,32,26,39,36,43,37,48,23,22,21,27,30,41,34,54,51,38,54,69,106,56,96,47,46,25,62,48,46,38,23,63,72,40,101,132,859980,155126
5,4,23,17,1,32,27,31,43,32,39,43,44,27,35,23,42,29,39,36,40,41,44,47,109,114,69,88,115,39,21,52,28,47,32,39,31,85,97,98,112,995710,146695
5,5,20,12,0,35,27,34,28,30,37,42,66,23,40,26,27,31,38,56,37,43,44,47,134,141,97,104,78,34,30,50,48,46,41,24,43,101,88,170,119,1083710,153701
5,6,16,10,1,40,27,25,44,35,41,37,55,29,30,25,34,42,41,41,47,38,35,49,92,92,104,70,74,38,39,45,46,49,37,26,30,87,82,126,123,947810,131376
5,0,18,8,2,27,27,17,28,33,31,25,50,15,38,23,12,35,27,41,34,46,40,38,69,77,57,92,76,24,25,45,36,22,23,39,34,63,58,102,93,778210,122507
5,1,20,10,0,35,33,42,51,31,41,30,35,36,32,30,22,32,43,40,38,58,45,49,115,86,90,105,81,23,37,42,49,52,26,29,44,72,102,113,105,990280,161665
5,2,19,10,0,30,20,23,42,38,33,42,62,24,22,31,23,56,52,47,40,34,27,50,96,120,80,102,68,33,35,53,42,48,35,38,57,111,80,93,128,1006860,131876
5,3,19,12,0,38,33,30,36,50,46,22,41,28,42,28,26,41,46,42,46,62,31,32,72,95,120,92,88,31,38,57,43,38,38,33,43,101,100,98,110,1009260,131280
5,4,17,9,1,17,36,28,35,36,39,32,45,33,43,26,24,41,46,33,56,20,39,51,81,113,92,72,93,35,27,58,45,40,36,29,36,83,69,140,103,938650,149498
5,5,15,6,1,22,32,32,40,41,32,37,59,28,36,18,24,41,40,39,56,48,30,50,93,75,84,101,106,27,23,59,65,34,47,27,45,70,72,118,137,961290,153047
