date,month,day,weekday,high_temp,low_temp,weather,ブレンドコーヒー,アイスコーヒー,アメリカンコーヒー,本日のおすすめコーヒー,カフェ・ラテ,豆乳ラテ,ハニーカフェ・オレ,沖縄黒糖ラテ,カフェインレスコーヒー,カフェインレスカフェ・ラテ,ティー,アイスティー,ロイヤルミルクティー,豆乳ティー,国産みかんジュース,青森県産りんごジュース,カフェ・モカ,ココア,宇治抹茶ラテ,キッチントルコライス,ビーフシチュープレート,焼きトマトのハンバーグドリア,海老とペンネのグラタン,十六穀米のミートドリア,からあげ,フライドポテト,エビアボカドサンド,ポンレスハム＆生ハムサンド,キッチンチーズドッグ,キッチンレタスドッグ,キッチンジャーマンドッグ,ピザトースト,瀬戸内海産しらすとたらこ,ナポリタン,ice_drink_sales,hot_drink_sales,accurate_revenue,revenue
2024-03-27,3,27,2,6,0,0,39,24,31,38,32,34,35,52,24,45,17,24,32,34,34,57,45,42,44,115,100,77,84,99,35,28,39,51,27,57,29,49,75,80,131,104,967200,121731
2024-03-28,3,28,3,6,0,0,25,24,25,28,37,38,44,33,32,40,25,29,36,29,44,48,39,41,30,100,97,100,81,80,37,33,63,48,50,34,32,61,69,60,101,145,935980,149431
2024-03-29,3,29,4,11,5,0,27,34,33,27,30,30,33,47,32,40,26,29,34,36,56,53,35,57,54,78,82,109,117,101,53,27,56,58,30,39,31,43,99,91,138,96,1025670,154065
2024-03-30,3,30,5,8,1,1,24,30,31,36,45,32,30,50,31,48,25,50,37,44,18,43,44,33,42,75,74,91,103,72,33,34,43,55,49,33,32,44,54,86,158,123,902530,173576
2024-03-31,3,31,6,14,4,0,21,32,30,47,37,48,49,41,38,41,22,22,44,34,42,29,34,44,39,98,107,86,121,99,39,38,48,46,43,17,43,44,87,72,111,165,1004170,138310
2024-04-01,4,1,0,15,5,0,31,40,31,40,30,26,45,45,29,46,27,25,31,19,45,40,32,33,35,109,90,94,71,93,34,23,38,48,52,29,44,69,65,76,125,89,932530,172208
2024-04-02,4,2,1,14,7,0,32,30,19,27,31,29,33,48,33,28,32,28,46,36,44,40,43,36,57,79,66,115,67,112,30,39,60,37,52,42,38,60,88,76,96,104,952140,143406
2024-04-03,4,3,2,13,7,0,36,37,29,45,51,47,55,46,33,34,27,29,34,55,48,43,60,5,38,68,78,104,99,87,32,27,32,45,67,28,33,36,94,101,94,113,978230,165041
2024-04-04,4,4,3,19,13,1,26,28,28,38,48,31,36,46,32,48,34,31,38,34,29,49,44,44,61,103,103,94,88,99,33,32,58,63,38,31,27,57,112,94,102,99,1048160,133134
2024-04-05,4,5,4,12,3,1,28,26,33,30,44,39,39,53,33,36,18,27,39,39,39,48,34,46,39,116,117,99,90,96,34,27,58,40,50,36,16,46,72,106,84,119,1027560,148820
