date,ice_drink_sales_actual,ice_drink_sales_predicted
2102-05-06,164,138.75414
2105-05-22,92,116.730064
2075-09-20,104,111.33064
2063-02-08,57,59.298664
2104-09-10,131,110.11545
2050-10-02,138,141.9241
2121-08-11,170,174.88214
2105-12-15,51,57.31512
2096-03-23,127,113.12366
2108-09-03,87,94.64422
2051-03-11,129,137.15779
2124-10-10,125,111.729485
2124-11-03,39,46.30245
2123-07-21,191,174.62633
2102-01-03,45,57.558792
2105-01-01,61,59.639774
2122-01-05,39,50.00062
2102-06-14,173,175.75005
2063-11-14,62,56.48725
2093-11-12,52,56.67592
2117-10-02,127,137.85966
2073-04-25,82,96.47572
2123-03-10,112,112.28739
2076-01-17,51,57.857796
2050-01-13,53,57.909683
2066-06-20,211,209.75339
2041-10-30,99,107.83287
2063-01-02,58,59.368416
2090-11-26,77,69.74344
2118-06-21,181,176.65002
2117-06-03,163,179.51456
2103-03-07,137,110.93321
2070-12-05,70,59.400635
2029-06-09,195,175.17671
2124-04-28,104,117.67427
2103-04-06,105,112.27423
2099-03-17,100,93.10514
2083-02-03,53,58.429398
2089-02-10,38,48.01166
2032-06-14,162,176.76904
2094-12-15,54,54.324635
2081-07-01,167,176.10733
2028-03-19,108,141.68011
2024-06-05,169,175.42085
2042-08-08,178,174.46825
2042-05-28,141,111.53969
2049-03-28,143,145.38991
2099-04-06,120,99.38918
2053-04-27,128,141.87936
2051-04-11,94,98.08457
2056-04-23,145,141.7515
2109-08-10,203,212.26645
2084-01-12,59,58.093422
2110-12-26,45,47.488544
2035-12-27,42,52.68553
2118-11-26,55,69.44665
2026-07-17,186,176.56885
2032-06-05,217,213.15141
2113-09-09,111,136.60196
2063-10-10,135,110.96042
2071-06-09,167,173.26385
2090-06-07,161,176.21475
2043-12-25,56,55.285458
2046-12-27,41,47.42175
2048-07-10,165,178.6498
2054-08-17,156,172.46736
2047-01-12,61,59.02963
2121-04-11,89,115.06483
2043-01-10,64,67.86396
2082-07-14,193,177.9279
2050-05-31,95,107.455734
2047-07-22,169,176.01501
2118-04-20,131,112.632515
2095-12-07,52,55.782963
2102-05-11,89,113.939224
2077-11-21,79,69.42663
2099-02-06,46,58.63771
2113-01-11,47,57.389637
2075-02-11,67,56.919292
2099-07-13,172,176.9309
2066-06-06,202,214.06474
2106-01-30,57,63.89267
2071-07-30,191,169.03424
2031-10-18,148,143.07149
2113-01-14,74,67.427864
2098-12-19,68,57.71462
2029-02-20,60,54.834423
2121-11-08,59,67.78665
2100-12-24,54,57.410107
2028-02-22,63,55.32775
2106-04-21,132,111.199974
2108-05-10,124,110.08864
2038-03-14,140,140.4659
2049-02-27,58,63.912033
2036-09-16,111,110.24148
2030-07-09,179,179.61166
2122-07-22,159,176.1647
2088-10-12,128,109.07139
2084-03-02,113,112.41572
2120-06-23,226,209.53448
2124-03-19,145,141.54712
2115-08-02,174,178.56964
2077-02-23,59,55.396828
2041-05-19,147,142.7432
2034-08-21,172,167.80013
2070-05-06,104,114.36935
2096-07-29,215,211.79352
2046-10-01,102,107.29248
2124-11-13,68,56.576374
2042-01-05,76,68.8111
2046-10-08,136,109.339745
2042-04-14,126,112.6815
2114-09-29,142,137.8091
2108-11-29,52,55.57014
2033-12-13,56,57.233547
2083-07-22,166,176.02658
2051-08-25,153,174.44089
2098-09-16,83,110.74012
2095-11-26,63,59.27716
2030-07-04,178,179.59268
2048-04-09,123,111.05984
2062-07-17,164,172.37909
2087-09-24,87,111.08728
2092-08-16,223,216.04538
2033-01-18,68,57.208683
2031-12-24,51,53.488438
2091-05-08,107,113.387314
2029-02-15,51,56.30922
2035-09-25,118,107.7992
2098-04-18,99,115.29751
2051-07-19,161,175.33678
2072-03-06,164,137.43556
2123-12-27,38,48.778492
2047-01-08,58,57.804356
2119-05-31,89,110.55132
2119-11-26,66,68.07039
2071-06-28,210,207.02605
2042-07-20,227,216.08109
2059-05-31,139,142.94145
2087-08-26,189,170.15843
2049-03-12,89,112.52106
2110-10-28,109,107.85784
2095-01-21,58,57.637688
2092-02-07,61,57.433655
2036-06-15,206,215.23082
2041-07-12,172,178.81906
2091-12-19,52,54.04649
2059-09-17,129,109.33601
2058-10-06,153,143.70268
2119-05-07,124,138.54605
2099-02-05,63,58.97937
2038-06-01,169,177.92511
2032-07-11,204,216.78214
2099-02-21,55,70.281395
2102-02-23,48,54.865627
2058-06-23,201,204.53949
2084-10-09,94,110.50833
2028-03-30,108,113.09862
2079-12-12,68,56.705143
2077-12-02,53,55.895992
2051-01-12,64,58.00168
2114-01-03,53,58.309547
2025-07-05,163,177.26787
2110-05-20,126,107.768845
2086-06-02,206,209.59087
2108-06-13,153,147.20967
