date,ice_drink_sales_actual,ice_drink_sales_predicted
2024-06-24,183,170.36685
2024-07-10,176,177.58714
2024-04-08,102,105.05808
2024-04-22,99,92.643486
2024-05-30,111,120.956375
2024-06-02,213,186.04994
2024-05-31,121,135.09872
2024-07-22,167,169.17186
2024-07-13,220,209.00229
2024-06-08,208,184.08392
2024-06-20,178,168.94072
2024-05-11,165,143.01282
2024-06-11,165,175.78848
2024-06-03,174,168.25388
2024-04-27,149,133.61308
2024-05-08,120,116.87074
2024-04-23,89,83.23591
2024-04-15,104,103.82268
2024-06-21,167,174.77438
2024-05-22,103,121.497765
2024-07-14,226,206.1778
2024-03-31,152,131.92685
2024-07-16,155,168.68427
2024-05-02,124,125.962875
2024-07-09,166,190.72144
2024-08-10,193,198.18225
2024-04-12,125,114.14357
2024-04-14,122,97.635445
