date,ice_drink_sales_actual,ice_drink_sales_predicted
2023-04-14,93,108.05803
2022-05-29,111,182.48311
2022-10-30,148,154.74486
2022-12-22,80,71.04276
2023-05-31,118,113.36812
2022-09-24,109,124.395874
2022-03-14,95,91.608
2022-03-23,73,69.82089
2022-05-14,158,131.95749
2022-12-09,73,70.63428
2022-12-11,83,77.66047
2023-12-12,65,68.118355
2022-03-20,105,90.64455
2023-03-10,97,99.396614
2022-07-24,223,252.65654
2022-03-28,110,95.82211
2023-04-10,92,105.23987
2022-02-03,69,88.35055
2023-08-11,183,166.44681
2022-04-29,111,105.84649
2023-01-18,70,68.25719
2023-03-07,110,94.60133
2022-09-12,80,98.97566
2023-04-29,118,103.44654
2022-07-19,184,185.26663
2022-08-09,201,177.96754
2022-10-27,97,94.15828
2022-02-09,85,86.48981
2022-08-20,183,152.36223
2022-12-30,85,76.40123
2022-12-13,47,47.866203
2022-09-17,121,127.86349
2022-02-24,70,81.33622
2022-03-07,87,93.60671
2023-03-24,123,99.91674
2022-07-12,129,164.1015
2023-01-11,70,74.966034
2022-04-12,98,94.07656
2022-01-11,78,69.92051
2023-09-29,114,115.032616
2022-12-23,69,73.98455
2023-12-18,69,70.37043
2022-06-24,181,160.82819
2023-10-12,119,93.19605
2022-07-16,221,190.14023
2022-10-03,133,107.24453
2023-05-28,161,175.14813
2023-03-13,107,90.9202
2022-08-24,178,145.40219
2023-06-07,180,161.04176
2023-03-11,109,104.90075
2022-04-20,86,85.89595
2023-11-11,81,109.50808
2023-11-20,71,82.602615
2023-11-28,87,87.380356
2023-08-17,202,185.5255
2023-03-06,99,77.22108
2023-04-03,108,102.23313
2022-08-04,175,173.35997
2022-07-28,200,171.9374
2023-12-22,72,66.439835
2022-08-02,195,183.56836
2022-06-05,234,240.16817
2022-08-16,200,138.47002
2023-02-10,78,88.950195
2022-12-17,94,69.35129
2022-03-05,137,107.13621
2023-09-16,148,129.18303
2022-03-19,107,98.68049
2022-02-19,99,87.28604
2023-04-25,126,88.337204
2023-11-14,65,79.57243
2022-11-21,58,66.940834
2022-04-08,93,100.135635
2023-07-23,253,229.48132
2023-02-14,63,82.06354
2022-01-24,79,70.55145
2022-08-12,192,185.79807
2022-12-18,106,101.5327
2023-03-25,143,104.889595
2023-05-27,132,146.19716
2023-03-09,110,97.75295
2023-01-04,60,78.90948
2022-09-02,115,128.70477
2022-09-23,96,109.31037
2022-10-28,124,107.98649
2023-08-03,131,165.7512
2022-05-01,112,168.45677
2022-01-31,64,67.63375
2023-08-28,181,184.84346
2023-11-09,85,79.855095
2023-03-01,88,90.802956
2022-12-01,63,68.554016
2023-02-03,66,87.668175
2022-06-15,193,162.54486
2022-12-16,77,77.27603
2023-09-25,103,138.72717
2023-06-27,209,157.8267
2022-06-08,185,136.25485
2022-03-26,146,102.69797
2022-03-21,83,92.84299
2023-06-13,186,175.80235
2022-10-14,100,94.21586
2022-11-23,76,82.53561
2023-12-28,76,72.42301
2022-02-01,76,82.29611
2023-02-27,71,79.468666
2022-09-06,66,116.60416
2023-12-19,67,46.359154
2023-02-22,79,76.44465
2023-04-13,114,101.51632
2023-07-26,186,182.48642
2022-02-25,88,88.37632
2023-08-18,198,148.43779
2023-05-03,104,110.20193
2022-12-28,67,71.24682
2023-08-23,189,191.40988
2023-03-26,134,109.57948
2022-03-18,92,94.89775
2022-01-03,72,71.76953
2023-04-16,155,110.30294
2023-05-13,113,125.81263
2023-06-20,181,149.66997
2022-03-02,112,98.35997
2023-12-27,69,74.29143
2023-03-08,103,98.18613
2023-01-03,64,75.597946
2023-04-27,96,97.59799
2023-08-13,206,228.94955
2023-11-06,64,88.589714
2022-06-14,198,170.49303
2022-08-23,187,157.29665
2023-06-02,207,198.07881
2022-04-01,96,95.73472
2022-12-03,87,80.3023
2023-08-20,225,197.7856
2022-03-11,119,99.23338
2022-07-30,208,237.65218
2022-05-12,100,102.89292
2022-02-14,81,79.19583
2022-03-12,89,86.197716
2023-02-09,79,80.74191
2023-01-26,89,71.59744
2022-08-07,192,168.89636
2022-05-16,94,109.26499
2022-09-18,135,149.1147
