date,revenue_actual,revenue_predicted
2024-06-24,133323,149749.78
2024-07-10,126080,142488.23
2024-04-08,138004,149026.64
2024-04-22,178762,152352.02
2024-05-30,110340,126834.62
2024-06-02,151477,153956.1
2024-05-31,129591,127321.41
2024-07-22,140951,160037.52
2024-07-13,123565,134498.95
2024-06-08,150632,152386.95
2024-06-20,143172,146202.6
2024-05-11,122160,153487.61
2024-06-11,153672,157355.56
2024-06-03,124248,149345.36
2024-04-27,179757,148894.83
2024-05-08,164222,144761.9
2024-04-23,153287,158179.2
2024-04-15,152240,150771.23
2024-06-21,148750,151875.16
2024-05-22,108347,126953.02
2024-07-14,147753,139459.22
2024-03-31,152903,125427.055
2024-07-16,162879,154700.56
2024-05-02,122035,152794.1
2024-07-09,158482,152582.44
2024-08-10,151942,146549.22
2024-04-12,182241,133513.8
2024-04-14,127336,134325.89
