date,ice_drink_sales_actual,ice_drink_sales_predicted
2023-04-14,101,112.486336
2022-05-29,145,195.90959
2022-10-30,124,174.90378
2022-12-22,69,75.57966
2023-05-31,101,122.69489
2022-09-24,114,134.5049
2022-03-14,98,105.55209
2022-03-23,116,95.6528
2022-05-14,116,154.78888
2022-12-09,70,80.11038
2022-12-11,105,101.897766
2023-12-12,82,74.20374
2022-03-20,120,103.91139
2023-03-10,117,82.6005
2022-07-24,250,246.54799
2022-03-28,133,95.59415
2023-04-10,110,110.70402
2022-02-03,87,80.72455
2023-08-11,192,157.91026
2022-04-29,61,74.32955
2023-01-18,42,45.569534
2023-03-07,96,85.7744
2022-09-12,115,133.14845
2023-04-29,149,125.933205
2022-07-19,175,179.93129
2022-08-09,212,171.64728
2022-10-27,118,89.49111
2022-02-09,84,83.475555
2022-08-20,247,169.00293
2022-12-30,85,82.96441
2022-12-13,87,75.12091
2022-09-17,110,144.44101
2022-02-24,86,89.740486
2022-03-07,114,98.72395
2023-03-24,120,102.79622
2022-07-12,196,191.16028
2023-01-11,74,75.0975
2022-04-12,84,99.452805
2022-01-11,66,61.41014
2023-09-29,63,87.460526
2022-12-23,72,76.23937
2023-12-18,64,86.56778
2022-06-24,184,198.10522
2023-10-12,123,93.109634
2022-07-16,212,201.75363
2022-10-03,98,102.49154
2023-05-28,140,161.83252
2023-03-13,117,103.93561
2022-08-24,183,166.46623
2023-06-07,197,141.64372
2023-03-11,137,111.10109
2022-04-20,83,106.99188
2023-11-11,88,95.8885
2023-11-20,83,100.24562
2023-11-28,81,76.98977
2023-08-17,162,136.09009
2023-03-06,128,91.51616
2023-04-03,122,97.81143
2022-08-04,163,196.25359
2022-07-28,172,200.79187
2023-12-22,64,78.53308
2022-08-02,123,133.16583
2022-06-05,256,199.96928
2022-08-16,138,104.03697
2023-02-10,72,82.418144
2022-12-17,90,91.62811
2022-03-05,124,105.45744
2023-09-16,87,102.29395
2022-03-19,141,109.883675
2022-02-19,100,89.52071
2023-04-25,90,108.722725
2023-11-14,72,79.64733
2022-11-21,45,74.837616
2022-04-08,105,100.71094
2023-07-23,230,251.07585
2023-02-14,67,79.85884
2022-01-24,69,72.185524
2022-08-12,125,111.34715
2022-12-18,83,103.11115
2023-03-25,143,105.70701
2023-05-27,117,193.45654
2023-03-09,91,106.22731
2023-01-04,85,65.22024
2022-09-02,95,128.4948
2022-09-23,56,87.13064
2022-10-28,105,98.40018
2023-08-03,178,161.17664
2022-05-01,117,157.82599
2022-01-31,70,72.52738
2023-08-28,186,174.7573
2023-11-09,50,57.303562
2023-03-01,124,85.781746
2022-12-01,70,68.35415
2023-02-03,77,90.296974
2022-06-15,199,149.57541
2022-12-16,63,78.87322
2023-09-25,113,160.74017
2023-06-27,183,156.13942
2022-06-08,197,157.68109
2022-03-26,119,107.86297
2022-03-21,119,97.74954
2023-06-13,185,155.85329
2022-10-14,111,96.87197
2022-11-23,70,86.49929
2023-12-28,75,82.628815
2022-02-01,84,85.21565
2023-02-27,64,83.076065
2022-09-06,111,130.94629
2023-12-19,77,74.710655
2023-02-22,68,89.20153
2023-04-13,86,95.41816
2023-07-26,174,177.5894
2022-02-25,64,85.55016
2023-08-18,185,180.44008
2023-05-03,96,112.59594
2022-12-28,67,85.25091
2023-08-23,200,143.63925
2023-03-26,63,65.27258
2022-03-18,57,58.093193
2022-01-03,72,77.62832
2023-04-16,159,156.73647
2023-05-13,161,147.61858
2023-06-20,175,146.28333
2022-03-02,103,91.8109
2023-12-27,66,78.07941
2023-03-08,97,97.3695
2023-01-03,85,68.13865
2023-04-27,97,112.004074
2023-08-13,237,210.6494
2023-11-06,66,83.14565
2022-06-14,195,162.97237
2022-08-23,204,172.06549
2023-06-02,190,167.49968
2022-04-01,116,116.84726
2022-12-03,83,78.46562
2023-08-20,125,128.22171
2022-03-11,59,58.83903
2022-07-30,238,238.71596
2022-05-12,127,122.385925
2022-02-14,69,85.903015
2022-03-12,152,108.45367
2023-02-09,69,86.60984
2023-01-26,72,73.215706
2022-08-07,236,206.74426
2022-05-16,102,138.44374
2022-09-18,116,147.37242
