date,month,day,weekday,high_temp,low_temp,weather,menu_1_sales,menu_2_sales,menu_3_sales,menu_4_sales,menu_5_sales,menu_6_sales,menu_7_sales,menu_8_sales,menu_9_sales,menu_10_sales,menu_11_sales,menu_12_sales,menu_13_sales,menu_14_sales,menu_15_sales,menu_16_sales,menu_17_sales,menu_18_sales,menu_19_sales,menu_20_sales,menu_21_sales,menu_22_sales,menu_23_sales,menu_24_sales,menu_25_sales,menu_26_sales,menu_27_sales,menu_28_sales,menu_29_sales,menu_30_sales,ice_drink_sales,hot_drink_sales,revenue
2022-01-01,1,1,5,3,-6,0,2,1,1,1,2,1,1,2,1,1,1,2,3,1,2,2,1,3,1,2,1,2,1,3,1,1,2,2,1,3,62,211,181976
2022-01-02,1,2,6,4,-5,0,1,1,4,1,4,1,1,1,1,1,1,3,1,2,1,1,4,1,1,1,2,1,1,1,1,2,1,3,3,1,63,198,196949
2022-01-03,1,3,0,5,-4,0,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,49,133,144482
2022-01-04,1,4,1,0,-8,0,2,2,2,1,3,2,3,3,1,2,1,2,2,1,1,2,1,1,2,2,1,3,2,2,1,2,1,2,1,1,42,144,171112
2022-01-05,1,5,2,2,-7,0,2,3,1,2,2,1,1,2,3,2,1,2,1,1,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,45,174,104117
2022-01-06,1,6,3,3,-5,1,2,3,1,1,4,2,1,1,1,2,2,3,1,1,1,1,2,1,1,1,3,1,1,2,3,3,1,1,1,1,51,139,125884
2022-01-07,1,7,4,9,0,0,3,3,1,1,2,3,3,2,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,2,1,1,2,1,40,150,181928
2022-01-08,1,8,5,0,-5,1,1,2,1,3,3,1,1,1,2,1,1,2,1,1,2,2,3,1,1,1,1,1,3,3,1,2,3,1,2,2,76,186,132027
2022-01-09,1,9,6,5,-4,0,1,2,2,1,2,1,2,1,1,2,1,1,2,2,1,2,3,1,1,3,1,1,1,1,3,4,3,1,1,2,70,196,120101
2022-01-10,1,10,0,8,0,0,3,1,3,2,1,1,3,4,3,4,1,3,1,2,3,1,3,3,2,1,1,2,2,1,2,3,1,1,3,1,64,169,148734
2022-01-11,1,11,1,5,-3,2,1,0,1,2,0,0,0,1,2,1,2,1,0,1,1,0,0,1,2,0,0,1,0,1,0,1,0,1,1,0,40,145,149631
2022-01-12,1,12,2,0,-8,0,1,2,1,2,1,1,3,1,1,2,2,3,2,1,1,1,2,2,4,1,3,3,1,2,1,1,1,2,1,1,50,175,150788
2022-01-13,1,13,3,4,-4,0,2,1,1,1,2,2,1,3,3,2,1,2,1,1,3,1,3,1,1,3,1,3,2,1,2,2,1,4,2,1,49,140,121999
2022-01-14,1,14,4,9,3,0,3,1,1,2,2,1,1,3,2,1,2,2,1,2,2,4,3,1,1,1,1,2,1,1,2,3,2,2,1,1,54,146,184909
2022-01-15,1,15,5,1,-4,0,2,2,1,1,3,1,2,2,2,2,2,1,2,1,1,1,1,2,1,2,1,1,1,3,1,2,3,1,2,1,66,194,113746
2022-01-16,1,16,6,9,0,0,2,1,1,1,1,2,1,3,3,2,3,1,3,2,1,2,2,3,2,2,2,1,1,1,1,1,3,1,3,1,58,198,141363
2022-01-17,1,17,0,9,3,1,1,1,1,2,3,1,1,1,1,1,2,3,1,1,2,1,1,3,1,1,1,1,2,1,3,3,3,1,1,2,58,148,135702
2022-01-18,1,18,1,2,-3,1,3,1,1,1,2,1,1,1,2,1,1,2,1,1,3,1,4,2,1,2,1,1,2,2,1,1,1,1,1,3,51,155,119528
2022-01-19,1,19,2,1,-5,0,1,1,2,3,1,2,1,2,2,1,2,1,1,1,1,1,1,2,3,1,1,1,1,1,1,3,2,1,4,2,57,157,190232
2022-01-20,1,20,3,4,-5,0,2,1,1,1,1,2,1,1,2,2,1,2,1,3,3,1,2,2,2,1,1,3,1,2,1,2,2,4,1,1,52,184,185667
2022-01-21,1,21,4,1,-8,0,1,2,1,1,2,1,1,3,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,4,2,2,3,59,142,136017
2022-01-22,1,22,5,5,-2,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,44,116,76049
2022-01-23,1,23,6,1,-7,1,3,1,3,1,1,1,3,1,3,1,3,2,1,4,1,1,1,1,3,3,2,1,1,3,2,2,3,1,1,1,70,207,172005
2022-01-24,1,24,0,8,2,1,1,2,2,2,1,1,1,2,1,3,2,1,1,2,1,3,4,1,2,2,1,1,3,1,2,1,1,2,1,2,64,155,144830
2022-01-25,1,25,1,4,-4,0,3,1,2,3,2,2,1,2,1,2,1,3,2,1,1,1,1,1,2,2,1,2,3,2,2,1,2,1,4,1,58,144,182846
2022-01-26,1,26,2,3,-6,0,1,1,2,1,2,1,1,2,1,2,1,1,1,1,2,1,2,1,2,1,2,1,3,1,1,2,1,2,1,2,49,171,137749
2022-01-27,1,27,3,7,-2,1,2,1,1,1,2,2,2,3,1,2,2,1,1,1,1,2,2,1,1,2,2,1,2,3,3,2,1,1,3,1,46,150,198747
2022-01-28,1,28,4,5,-1,0,2,1,1,4,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,3,1,3,44,136,159945
2022-01-29,1,29,5,7,-1,1,3,2,2,3,2,1,1,2,1,2,1,2,2,1,4,1,1,1,3,1,1,2,1,1,2,1,2,1,2,1,58,228,139447
2022-01-30,1,30,6,9,2,1,1,1,3,1,3,3,3,1,2,2,1,2,1,1,2,1,2,1,2,2,2,1,2,3,1,2,1,1,2,1,71,185,179961
2022-01-31,1,31,0,6,-1,0,3,1,2,2,2,1,3,2,1,2,2,2,1,3,1,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,55,172,118117
2022-02-01,2,1,1,8,0,1,2,3,1,2,2,1,2,2,2,2,1,2,3,1,1,1,2,1,3,2,3,2,1,1,1,2,1,2,2,3,41,139,136529
2022-02-02,2,2,2,4,-1,0,2,1,1,2,1,1,4,1,1,1,1,1,1,1,2,1,1,3,1,1,2,2,1,1,3,3,1,2,3,2,69,162,167668
2022-02-03,2,3,3,8,2,0,1,1,1,1,3,1,1,1,3,1,2,1,1,1,3,1,1,3,2,1,2,3,1,3,3,1,1,1,4,3,40,151,182353
2022-02-04,2,4,4,10,1,0,1,3,2,1,1,3,2,1,2,1,2,2,3,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,3,49,175,196479
2022-02-05,2,5,5,8,2,2,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,3,0,1,1,1,0,69,190,138748
2022-02-06,2,6,6,8,1,0,1,3,2,2,1,1,1,3,1,1,4,1,3,5,2,1,1,1,2,1,3,1,3,2,3,2,1,2,1,3,61,235,104777
2022-02-07,2,7,0,11,4,0,2,1,1,1,2,1,1,1,1,1,3,3,1,3,2,1,3,3,2,2,2,1,1,3,1,3,2,1,3,1,53,174,170412
2022-02-08,2,8,1,7,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,3,1,2,2,1,3,46,174,128905
2022-02-09,2,9,2,5,0,0,3,3,1,1,1,3,1,1,1,1,1,4,1,1,1,2,2,2,2,2,2,1,1,1,2,3,1,1,1,2,50,164,107240
2022-02-10,2,10,3,6,0,0,1,2,1,2,2,3,2,2,2,2,2,1,2,1,1,3,1,1,2,3,3,1,1,1,2,3,1,1,1,2,61,170,162489
2022-02-11,2,11,4,5,0,0,1,2,2,3,3,1,1,1,2,2,3,1,1,2,2,2,2,1,1,1,2,1,1,2,1,1,2,2,5,1,53,155,101939
2022-02-12,2,12,5,10,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,2,1,1,0,0,38,125,87283
2022-02-13,2,13,6,8,0,0,1,1,2,3,3,2,1,1,2,1,2,3,5,2,1,2,2,2,1,2,1,1,2,1,2,1,1,1,2,1,74,185,137875
2022-02-14,2,14,0,5,-2,0,1,2,2,1,1,3,3,2,3,2,2,1,3,1,3,2,3,2,1,2,1,2,2,1,3,2,2,1,3,1,48,157,170099
2022-02-15,2,15,1,8,0,2,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,30,77,94680
2022-02-16,2,16,2,8,-1,0,1,1,2,2,1,2,2,1,2,1,1,2,1,2,1,1,3,2,1,4,3,1,3,1,2,1,2,3,1,2,56,142,192368
2022-02-17,2,17,3,6,-2,0,1,1,1,2,1,2,1,2,1,1,1,2,2,2,1,1,3,1,2,2,2,1,2,1,3,3,1,3,1,1,61,154,157200
2022-02-18,2,18,4,7,-2,2,0,3,0,1,0,1,1,0,1,1,2,1,1,2,0,0,1,2,2,1,1,1,0,0,0,1,0,0,1,2,44,120,124857
2022-02-19,2,19,5,11,2,0,2,2,2,2,1,1,1,1,2,1,2,2,1,1,1,3,1,3,1,3,1,2,3,3,1,1,1,1,2,1,77,191,155306
2022-02-20,2,20,6,4,-1,1,2,3,1,1,1,3,2,2,1,1,2,3,1,1,1,1,3,4,1,1,1,1,2,1,1,1,2,3,2,2,78,212,169615
2022-02-21,2,21,0,4,-4,0,3,1,3,1,2,2,3,1,3,1,2,1,1,1,2,1,1,1,2,2,1,1,2,1,2,2,1,1,2,2,62,159,124850
2022-02-22,2,22,1,5,-2,1,3,1,1,1,3,2,1,3,2,2,2,1,1,2,1,1,1,2,1,1,1,3,1,2,1,4,1,1,1,1,39,153,187608
2022-02-23,2,23,2,4,-2,1,1,1,1,1,4,1,3,1,1,1,3,1,2,2,2,2,1,1,1,2,2,1,2,2,1,3,1,3,1,3,54,142,194914
2022-02-24,2,24,3,11,1,0,1,1,2,2,1,1,1,2,2,2,2,1,1,1,4,3,1,1,1,1,3,1,1,1,2,2,1,2,4,2,50,186,145952
2022-02-25,2,25,4,10,2,0,2,1,1,1,3,1,1,3,1,1,1,2,3,1,1,3,3,1,1,2,1,3,2,2,1,1,1,2,1,1,42,160,186962
2022-02-26,2,26,5,9,0,2,0,1,1,1,0,0,2,0,2,1,1,3,0,1,0,2,1,2,0,3,0,2,0,0,1,1,4,1,2,1,54,179,146833
2022-02-27,2,27,6,8,-1,0,2,2,2,1,1,3,3,2,3,1,1,2,1,2,1,2,2,1,1,1,2,2,2,2,3,4,3,2,1,1,74,202,162496
2022-02-28,2,28,0,11,5,1,2,1,2,1,1,1,1,1,2,1,1,1,2,3,2,3,2,1,1,3,1,1,1,1,1,1,1,2,2,1,46,135,118081
2022-03-01,3,1,1,8,0,0,1,1,3,1,2,1,3,2,1,2,2,1,1,1,2,1,1,1,1,2,2,1,1,3,1,2,1,2,1,2,112,125,107279
2022-03-02,3,2,2,14,4,0,1,1,3,1,1,2,2,2,1,1,1,2,1,3,1,1,2,2,4,1,1,2,1,2,2,2,1,2,1,1,125,100,141322
2022-03-03,3,3,3,10,3,0,3,3,2,2,2,1,1,2,1,1,2,3,1,2,1,1,1,1,3,1,1,2,1,2,1,1,2,1,1,2,92,116,189652
2022-03-04,3,4,4,7,0,0,1,1,3,1,1,1,2,2,1,2,1,1,1,1,4,3,1,1,1,3,2,1,1,1,2,1,3,1,2,1,86,128,162861
2022-03-05,3,5,5,8,2,1,2,1,2,1,1,3,3,1,1,3,3,1,1,2,1,1,1,3,2,2,2,2,2,2,1,3,2,1,2,2,121,139,124195
2022-03-06,3,6,6,10,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,4,1,2,1,1,2,1,2,1,3,2,2,1,1,1,2,3,154,145,109970
