date,revenue_actual,revenue_redicted
2023-04-14,171736,125590.13
2022-05-29,128316,142717.38
2022-10-30,119379,174246.66
2022-12-22,189572,148065.1
2023-05-31,168029,171896.6
2022-09-24,112342,166873.62
2022-03-14,152688,118960.16
2022-03-23,182279,162787.73
2022-05-14,65627,119185.57
2022-12-09,138443,124727.71
2022-12-11,159154,129602.42
2023-12-12,110161,157642.28
2022-03-20,120059,139087.3
2023-03-10,163677,159258.48
2022-07-24,112276,165831.45
2022-03-28,180277,125053.93
2023-04-10,181513,127564.195
2022-02-03,165608,98555.41
2023-08-11,125778,164976.61
2022-04-29,197330,144366.38
2023-01-18,108806,136752.52
2023-03-07,119824,138102.4
2022-09-12,185652,126524.29
2023-04-29,179737,136289.3
2022-07-19,56962,126397.9
2022-08-09,126421,153467.34
2022-10-27,70962,128127.47
2022-02-09,114697,113389.51
2022-08-20,111676,163940.11
2022-12-30,189723,139410.19
2022-12-13,180318,146049.47
2022-09-17,151676,167615.06
2022-02-24,160497,141323.44
2022-03-07,111756,116954.875
2023-03-24,140749,173924.08
2022-07-12,149331,168635.17
2023-01-11,149503,92535.39
2022-04-12,123446,142213.14
2022-01-11,120923,119615.42
2023-09-29,161350,168377.75
2022-12-23,153193,122137.75
2023-12-18,119667,123104.516
2022-06-24,132025,138775.92
2023-10-12,162400,137636.58
2022-07-16,125088,111700.3
2022-10-03,191500,105802.8
2023-05-28,155285,178067.31
2023-03-13,143545,146160.3
2022-08-24,100617,107884.13
2023-06-07,131484,132540.81
2023-03-11,168049,141434.42
2022-04-20,156673,102081.125
2023-11-11,125025,168634.97
2023-11-20,100031,89572.44
2023-11-28,116000,135502.16
2023-08-17,144928,149391.36
2023-03-06,142876,112890.62
2023-04-03,172562,127637.414
2022-08-04,173748,152052.88
2022-07-28,59535,126896.32
2023-12-22,166509,151591.1
2022-08-02,174602,174938.7
2022-06-05,84351,117918.586
2022-08-16,125556,130136.086
2023-02-10,177036,139456.42
2022-12-17,95455,99450.13
2022-03-05,168104,151281.12
2023-09-16,140639,175158.03
2022-03-19,184350,171978.69
2022-02-19,165432,170315.34
2023-04-25,102519,95989.09
2023-11-14,142988,151665.69
2022-11-21,128701,121316.47
2022-04-08,157293,166359.19
2023-07-23,130995,152854.9
2023-02-14,126118,118543.08
2022-01-24,101853,125475.28
2022-08-12,171331,130099.32
2022-12-18,114556,126245.56
2023-03-25,137905,135861.39
2023-05-27,111419,140618.03
2023-03-09,157397,123416.77
2023-01-04,107072,102862.45
2022-09-02,124326,125402.78
2022-09-23,173533,162035.34
2022-10-28,175613,171825.22
2023-08-03,132203,118161.63
2022-05-01,129119,151957.4
2022-01-31,119256,148579.03
2023-08-28,172354,118805.266
2023-11-09,190133,131296.5
2023-03-01,109230,130696.8
2022-12-01,190270,142308.36
2023-02-03,138801,115409.04
2022-06-15,166197,143160.19
2022-12-16,96041,126239.72
2023-09-25,127808,171300.11
2023-06-27,175962,164460.94
2022-06-08,119367,128602.734
2022-03-26,192329,153239.69
2022-03-21,113823,114908.984
2023-06-13,142228,139393.25
2022-10-14,195481,141874.34
2022-11-23,113156,167145.14
2023-12-28,184281,133480.27
2022-02-01,158582,130970.84
2023-02-27,110088,151972.7
2022-09-06,166483,148958.16
2023-12-19,147777,121384.42
2023-02-22,118351,151034.97
2023-04-13,165978,149421.6
2023-07-26,195647,159237.38
2022-02-25,196935,152590.06
2023-08-18,198559,174944.8
2023-05-03,173059,112874.54
2022-12-28,122542,162936.4
2023-08-23,101351,116336.97
2023-03-26,131145,117245.64
2022-03-18,158249,162113.11
2022-01-03,89987,106742.07
2023-04-16,114772,117945.78
2023-05-13,166482,148972.73
2023-06-20,199058,135332.6
2022-03-02,153381,100965.305
2023-12-27,106180,123531.84
2023-03-08,177027,132702.06
2023-01-03,129550,159397.2
2023-04-27,117941,142789.39
2023-08-13,122742,118606.44
2023-11-06,105763,144142.23
2022-06-14,138056,130065.4
2022-08-23,61633,109730.125
2023-06-02,144429,152031.72
2022-04-01,168412,148679.08
2022-12-03,119810,139345.11
2023-08-20,143027,148183.17
2022-03-11,146488,159747.95
2022-07-30,145730,183207.53
2022-05-12,159811,137824.36
2022-02-14,126285,167729.9
2022-03-12,155664,131964.06
2023-02-09,180157,106798.375
2023-01-26,112140,129817.84
2022-08-07,161636,184104.14
2022-05-16,183842,131049.66
2022-09-18,117258,137251.36
