date,revenue_actual,revenue_redicted
2023-04-14,104681,90809.445
2022-05-29,133766,180455.42
2022-10-30,70119,185417.48
2022-12-22,175457,120533.94
2023-05-31,116870,161897.67
2022-09-24,182690,189529.16
2022-03-14,166766,68797.28
2022-03-23,123407,91940.4
2022-05-14,145493,126266.79
2022-12-09,140922,89764.12
2022-12-11,161089,76778.09
2023-12-12,183451,61704.156
2022-03-20,94743,99338.625
2023-03-10,155188,89701.125
2022-07-24,182633,222418.42
2022-03-28,177508,104670.53
2023-04-10,189917,81512.87
2022-02-03,158754,54499.652
2023-08-11,107813,156039.47
2022-04-29,187415,138178.25
2023-01-18,184434,68891.484
2023-03-07,127867,85814.3
2022-09-12,155870,144662.58
2023-04-29,173981,170997.47
2022-07-19,104100,203383.8
2022-08-09,115665,157551.25
2022-10-27,159485,144483.47
2022-02-09,132568,55929.19
2022-08-20,152337,170218.44
2022-12-30,150217,155313.69
2022-12-13,174513,101689.4
2022-09-17,164077,178717.42
2022-02-24,142217,87626.74
2022-03-07,149999,78658.445
2023-03-24,113866,104545.63
2022-07-12,188892,169744.95
2023-01-11,173130,44857.902
2022-04-12,112917,110879.49
2022-01-11,164568,56230.598
2023-09-29,152288,179473.05
2022-12-23,139571,113531.914
2023-12-18,192995,97720.33
2022-06-24,197445,176959.06
2023-10-12,198073,126394.586
2022-07-16,190189,155196.36
2022-10-03,135623,102864.664
2023-05-28,144713,150777.23
2023-03-13,191633,52331.06
2022-08-24,137828,179307.48
2023-06-07,137908,126538.02
2023-03-11,188560,73419.96
2022-04-20,105171,121468.13
2023-11-11,103134,106195.44
2023-11-20,102410,121245.586
2023-11-28,110366,169583.23
2023-08-17,197241,171708.89
2023-03-06,55306,67162.88
2023-04-03,128407,54998.9
2022-08-04,135121,165523.73
2022-07-28,111615,215469.2
2023-12-22,111687,113795.86
2022-08-02,141564,143577.16
2022-06-05,170363,108374.71
2022-08-16,136947,163748.17
2023-02-10,177080,56774.918
2022-12-17,107491,103525.04
2022-03-05,133134,72295.51
2023-09-16,142004,183625.9
2022-03-19,178984,114947.7
2022-02-19,128557,100905.91
2023-04-25,155539,117845.01
2023-11-14,166554,120498.04
2022-11-21,117806,130932.85
2022-04-08,159819,98272.23
2023-07-23,117787,179952.81
2023-02-14,141579,82248.18
2022-01-24,174631,95597.56
2022-08-12,150561,190698.2
2022-12-18,91005,104310.086
2023-03-25,199664,123533.086
2023-05-27,126698,173145.45
2023-03-09,187732,79972.984
2023-01-04,197730,40143.133
2022-09-02,173716,128827.4
2022-09-23,141425,187607.92
2022-10-28,118917,182029.2
2023-08-03,138322,162951.45
2022-05-01,135782,111545.15
2022-01-31,160036,94995.73
2023-08-28,195726,224051.97
2023-11-09,114156,84604.73
2023-03-01,136473,56942.832
2022-12-01,122014,62099.35
2023-02-03,153199,48107.527
2022-06-15,89274,149171.45
2022-12-16,177279,107700.74
2023-09-25,102279,170166.56
2023-06-27,143167,156379.86
2022-06-08,140710,156226.08
2022-03-26,173336,133220.36
2022-03-21,140946,79263.06
2023-06-13,197943,136900.73
2022-10-14,157527,150790.55
2022-11-23,106892,145754.52
2023-12-28,166113,112399.08
2022-02-01,185127,7809.4043
2023-02-27,140446,92345.12
2022-09-06,193418,141088.7
2023-12-19,190349,86419.73
2023-02-22,165144,103134.01
2023-04-13,115094,96793.43
2023-07-26,145919,212447.92
2022-02-25,161313,92720.26
2023-08-18,140230,190024.27
2023-05-03,161229,99400.586
2022-12-28,160864,138011.64
2023-08-23,102101,212349.78
2023-03-26,197881,107943.83
2022-03-18,149410,112680.51
2022-01-03,134164,3759.74
2023-04-16,166687,126313.89
2023-05-13,67067,125838.84
2023-06-20,182224,142731.89
2022-03-02,94432,34167.992
2023-12-27,183326,133314.84
2023-03-08,141890,58485.336
2023-01-03,163286,14701.958
2023-04-27,159766,132666.67
2023-08-13,107037,159101.61
2023-11-06,191544,103900.88
2022-06-14,158039,141943.48
2022-08-23,122326,184175.06
2023-06-02,169575,113817.8
2022-04-01,126701,55018.188
2022-12-03,121277,78719.414
2023-08-20,154400,190932.19
2022-03-11,127866,75859.47
2022-07-30,124173,200338.84
2022-05-12,179997,146041.67
2022-02-14,166481,75092.33
2022-03-12,124604,75982.336
2023-02-09,148594,46700.832
2023-01-26,101095,68748.56
2022-08-07,103643,143727.39
2022-05-16,141768,128014.92
2022-09-18,108537,191281.81
