date,アイスコーヒー_actual,アイスコーヒー_predicted
2024-06-24,77,74.166725
2024-07-10,87,82.11873
2024-04-08,86,71.50807
2024-04-22,67,71.62148
2024-05-30,70,79.93797
2024-06-02,91,68.553055
2024-05-31,56,69.595146
2024-07-22,64,80.309814
2024-07-13,83,79.56142
2024-06-08,72,79.77079
2024-06-20,80,73.06399
2024-05-11,93,82.093285
2024-06-11,49,76.561455
2024-06-03,76,71.35845
2024-04-27,60,76.76842
2024-05-08,37,75.1889
2024-04-23,48,67.62586
2024-04-15,88,75.31608
2024-06-21,73,73.32239
2024-05-22,66,79.25598
2024-07-14,83,79.41024
2024-03-31,88,81.35871
2024-07-16,77,81.15548
2024-05-02,95,70.98969
2024-07-09,89,80.07054
2024-08-10,80,86.5828
2024-04-12,72,74.08961
2024-04-14,66,71.05913
