date,revenue_actual,revenue_predicted
2003-02-27,139009,150816.73
2023-09-15,171170,148939.16
2014-04-09,187436,149801.12
2021-02-07,122563,124369.71
2012-06-03,144207,148755.17
2006-07-01,147683,148653.92
2004-01-28,163829,151935.67
2013-11-05,139888,150996.8
2017-11-08,138487,149150.44
2011-06-06,144750,149113.11
2005-04-25,118635,124285.586
2004-02-25,129591,150652.6
2006-05-22,141187,149517.73
2012-02-04,145488,150440.14
2013-06-20,165365,148521.02
2000-12-26,136211,125875.67
2002-10-31,146196,149809.4
2021-09-01,148824,148913.38
2010-04-25,172634,148880.44
2018-12-19,149013,126000.84
2015-11-28,126149,149796.48
2012-09-05,142820,149072.19
2013-07-22,123461,132679.48
2020-12-31,131804,126136.234
2000-03-21,128766,150185.47
2003-12-17,159049,149782.08
2016-12-28,125458,126471.54
2019-10-12,139063,148297.67
2014-08-11,148230,149682.44
2020-09-01,117433,129943.11
2016-11-25,126758,149586.6
2000-04-03,164512,149533.84
2009-05-22,147463,146722.48
2006-03-04,145231,146672.05
2002-09-29,150913,147328.72
2009-01-09,129742,149494.61
2016-08-08,133598,150033.66
2002-10-19,148159,149202.23
2004-06-19,151254,148601.9
2021-11-11,164974,150423.5
2019-03-31,173264,150525.39
2020-09-04,115224,148186.22
2006-01-19,131469,149032.97
2018-04-22,143466,146740.95
2014-09-09,176239,149225.89
2003-11-18,130101,149450.67
2010-05-22,164515,148962.33
2002-11-22,157735,149908.05
2023-12-23,114352,125006.94
2021-04-09,154753,150402.12
2007-04-18,145150,149749.56
2016-12-03,163434,150524.34
2007-05-02,128552,127713.87
2020-10-23,135383,147819.89
2014-06-18,176318,149434.23
2016-09-04,149232,147675.92
2012-11-18,109616,126971.63
2008-03-10,137609,149584.48
2015-07-11,157467,148627.8
2005-07-15,156229,148844.22
2010-11-23,156068,149619.75
2010-09-17,154658,148175.86
2004-10-31,122679,126681.445
2014-11-30,143572,149528.97
2019-08-16,133374,148757.16
2001-09-16,177998,148231.78
2000-09-24,160799,146970.58
2021-07-19,150635,149409.2
2023-06-17,130769,148813.84
2016-01-23,144298,150479.84
2011-12-31,153041,151089.08
2008-04-19,155744,147801.66
2019-06-03,113215,149506.92
2010-09-26,146843,147099.23
2007-09-26,134603,149841.45
2004-03-07,138071,151024.22
2009-11-24,167905,149513.66
2018-08-24,179852,147704.67
2023-11-11,122693,128860.01
2004-07-14,136717,149378.19
2011-10-13,145804,148777.8
2016-07-26,116894,130211.67
2022-12-08,124057,150696.02
2023-01-11,153140,148974.16
2005-08-29,109799,138924.16
2008-01-22,123811,124902.74
2020-12-07,155072,150307.6
2002-11-23,154352,149955.22
2019-07-01,124601,151278.95
2016-02-22,161666,149938.75
2021-11-07,149489,150148.9
2007-04-02,126689,150280.97
2002-05-29,126404,149571.31
2016-05-05,160438,149320.73
2002-02-05,156134,149746.6
2009-05-11,133917,149156.88
2013-11-10,160277,147262.28
2018-06-29,124139,147858.06
2005-12-17,159129,150550.72
2005-07-11,172616,150297.12
2003-07-21,173324,150778.83
2017-09-12,150761,149739.75
2020-06-22,150984,150712.4
2002-02-28,132382,151450.47
2015-03-26,132963,150259.53
2000-03-29,147952,149114.83
2000-07-31,125769,149517.38
2016-06-26,158890,148709.45
2004-09-17,173073,148284.33
2006-03-01,151198,148151.8
2018-09-28,157697,148157.45
2001-03-23,178285,150282.19
2001-10-15,149705,149286.27
2022-12-29,143498,150523.03
2012-01-23,169041,151316.4
2024-08-05,142889,150602.72
2005-05-19,152002,145079.53
2001-10-30,178573,150465.27
2003-08-15,125590,129359.1
2018-05-23,145173,149374.27
2008-06-05,126261,149021.83
2022-06-11,152879,148805.58
2013-10-23,169400,149598.86
2004-04-06,155014,149161.27
2013-02-24,152167,150246.1
2010-12-08,165321,151112.38
2015-02-23,147099,150704.7
2022-11-28,137317,150210.72
2004-05-14,148156,149310.5
2021-08-11,171876,149315.75
2013-08-03,151010,148405.95
2000-06-18,167327,148598.23
2024-03-07,153932,150340.1
2015-08-08,156152,149367.12
2011-11-21,140248,149221.56
2020-05-08,155270,149229.58
2001-12-09,169382,150724.9
2010-08-23,134174,149877.44
2024-06-03,112758,149584.5
2000-04-05,143947,148293.02
2018-03-31,139914,147953.86
2022-08-22,148880,134238.8
2018-02-28,138522,148855.66
2021-05-02,156222,148918.33
2009-07-19,153592,148367.25
2019-02-23,153443,150293.53
2000-09-05,181693,149156.16
2021-02-11,113654,149372.88
2014-06-17,146557,124281.87
2008-08-14,114922,149489.45
2006-01-30,150843,152488.66
2011-10-14,117295,123893.48
2011-10-09,162911,148455.69
2011-05-25,150746,150094.17
2000-08-27,143268,146993.53
2008-07-04,127050,148766.25
2022-02-12,145007,149395.81
2024-07-10,158347,149439.81
2014-06-07,153334,148475.56
2012-11-13,127284,124945.85
2009-05-04,145123,149334.83
2003-08-08,131269,130058.89
2015-07-30,174056,148107.38
2008-07-27,140949,147388.12
2008-03-19,142303,150042.89
2005-03-12,179634,145321.33
2022-01-24,174278,151519.25
2014-11-19,143838,149535.61
2005-10-25,119625,150853.38
2024-05-04,169445,149255.36
2018-06-09,147756,123828.086
2019-10-22,179400,149717.56
2003-12-01,145932,150675.92
2021-02-04,131615,149827.97
2000-11-14,129672,149658.42
2002-07-29,147116,149699.11
2011-03-23,153890,150248.34
2005-09-03,166235,147432.56
2010-11-05,150363,150021.81
2018-01-02,143368,150010.78
2022-01-05,161271,149184.06
2019-04-24,139327,149857.8
2009-07-11,155595,148392.05
2004-07-07,152894,149046.5
2013-01-01,157628,148545.19
2024-01-11,122131,148476.48
2010-05-18,138815,149376.88
2011-10-08,139600,148658.22
2024-04-16,168581,149179.8
2004-07-17,160632,148677.92
2021-03-11,131399,147699.75
2000-11-11,124961,149272.75
2011-11-27,166800,146937.02
2009-11-01,168966,146984.77
2019-08-14,145568,149421.36
2001-06-02,136247,148502.5
2016-07-18,149528,149584.05
2004-05-27,167478,149943.06
2022-01-23,116274,124919.36
2019-07-25,143108,148111.27
2023-02-25,164282,150214.25
2021-01-12,137673,150654.88
2018-11-10,145089,149747.83
2017-04-15,162358,145863.42
2010-08-17,147637,150234.22
2009-04-19,160848,150543.84
2008-04-25,126627,147801.84
2010-04-07,122228,121367.75
2006-02-11,152814,149874.34
2010-06-17,154406,148884.64
2015-10-29,126745,125790.805
2004-02-22,142607,150513.16
2009-04-04,171621,150488.58
2022-11-19,143709,150094.28
2013-10-12,161279,147389.12
2018-07-30,144351,151563.08
2001-09-12,185300,149196.8
2019-07-12,159200,149372.6
2005-11-03,151586,150499.69
2004-02-10,173341,150205.7
2019-11-05,142558,149754.72
2014-09-20,137010,147860.08
2021-01-28,152024,152011.8
2001-07-08,143771,147591.16
2004-01-19,122684,150343.47
2018-08-28,160315,149204.36
2023-12-31,151739,147670.7
2024-07-04,163851,150412.08
2022-01-30,152020,148025.31
2012-05-13,161109,150061.4
2000-11-17,154854,148837.64
2013-10-18,127795,123438.98
2017-03-23,163908,147259.58
2017-07-27,158510,149343.69
2015-02-08,151141,150155.67
2002-01-13,173731,150133.42
2016-03-11,137920,147028.97
2009-06-29,176151,149709.38
2019-04-04,154406,149500.39
2024-07-01,149839,137284.94
2015-04-15,142938,148569.4
2000-08-10,148104,148788.05
2011-05-28,139956,126965.8
2018-05-11,131119,123226.79
2004-07-28,132275,148592.7
2022-12-27,139295,149792.4
2016-04-23,153287,149597.11
2005-02-05,129599,149524.73
2006-04-07,133245,120497.234
