date,revenue_actual,revenue_predicted
2023-04-14,133325,143061.81
2022-05-29,115814,118804.52
2022-10-30,149849,148879.11
2022-12-22,188239,150028.98
2023-05-31,135999,143793.61
2022-09-24,158821,154972.94
2022-03-14,128701,147924.77
2022-03-23,178861,153762.77
2022-05-14,113725,141672.33
2022-12-09,144426,156660.47
2022-12-11,154971,151075.8
2023-12-12,86218,106096.39
2022-03-20,121406,150646.05
2023-03-10,159122,148368.23
2022-07-24,153909,150626.06
2022-03-28,144709,146112.03
2023-04-10,145644,157278.88
2022-02-03,148355,151971.58
2023-08-11,143269,152981.97
2022-04-29,133195,148987.12
2023-01-18,117070,155280.55
2023-03-07,186243,150764.12
2022-09-12,146213,159786.88
2023-04-29,117394,148653.61
2022-07-19,195906,155645.3
2022-08-09,135792,155625.25
2022-10-27,138940,150199.78
2022-02-09,119146,155303.53
2022-08-20,116738,150591.98
2022-12-30,106379,152280.73
2022-12-13,138469,149900.73
2022-09-17,198454,153240.67
2022-02-24,129559,160765.61
2022-03-07,145866,147814.0
2023-03-24,153760,156041.48
2022-07-12,155920,156419.17
2023-01-11,81468,118624.266
2022-04-12,147943,148509.86
2022-01-11,170808,158087.75
2023-09-29,135115,146127.05
2022-12-23,197096,150600.03
2023-12-18,192402,147800.6
2022-06-24,187403,143040.97
2023-10-12,117123,108833.21
2022-07-16,191985,148495.69
2022-10-03,145287,158981.56
2023-05-28,122527,147011.81
2023-03-13,183400,148479.11
2022-08-24,150513,142847.86
2023-06-07,114002,154945.12
2023-03-11,146474,141714.66
2022-04-20,165517,143443.39
2023-11-11,174461,142793.92
2023-11-20,117188,129268.44
2023-11-28,166736,144828.7
2023-08-17,165383,153869.42
2023-03-06,194083,147452.86
2023-04-03,163462,160385.14
2022-08-04,173060,154024.19
2022-07-28,182830,160457.62
2023-12-22,133627,137928.6
2022-08-02,166734,154512.95
2022-06-05,146820,142630.66
2022-08-16,101778,118860.91
2023-02-10,121349,161330.73
2022-12-17,135136,149942.94
2022-03-05,110563,154656.89
2023-09-16,174389,151871.97
2022-03-19,189563,149866.34
2022-02-19,163428,156051.92
2023-04-25,175423,148881.14
2023-11-14,131455,102544.44
2022-11-21,163585,154054.3
2022-04-08,172278,141205.4
2023-07-23,122098,148298.78
2023-02-14,114830,147391.84
2022-01-24,184865,147175.11
2022-08-12,197783,153001.84
2022-12-18,152991,147897.25
2023-03-25,103669,155473.94
2023-05-27,190805,149335.61
2023-03-09,165316,146213.66
2023-01-04,121921,149956.34
2022-09-02,176198,149281.27
2022-09-23,177677,148426.22
2022-10-28,182229,152438.14
2023-08-03,122853,156998.47
2022-05-01,136305,140386.94
2022-01-31,192662,154758.33
2023-08-28,121949,162491.42
2023-11-09,111748,155297.05
2023-03-01,187449,152251.62
2022-12-01,138287,157803.94
2023-02-03,134524,157660.88
2022-06-15,133655,151571.1
2022-12-16,115752,115669.69
2023-09-25,165444,161921.1
2023-06-27,100738,157890.36
2022-06-08,185619,154747.84
2022-03-26,154994,149276.48
2022-03-21,153762,144452.45
2023-06-13,139743,155507.05
2022-10-14,86427,111572.664
2022-11-23,184476,138556.03
2023-12-28,136617,117870.6
2022-02-01,160801,151775.86
2023-02-27,162912,145976.55
2022-09-06,170161,158781.88
2023-12-19,162568,147004.61
2023-02-22,179094,149120.88
2023-04-13,180619,138777.1
2023-07-26,143835,142832.36
2022-02-25,174652,166749.66
2023-08-18,151293,153779.66
2023-05-03,144073,153407.4
2022-12-28,174180,154918.92
2023-08-23,190305,144751.7
2023-03-26,112240,161967.69
2022-03-18,122689,149886.8
2022-01-03,109646,152742.45
2023-04-16,144485,148550.97
2023-05-13,161723,139713.03
2023-06-20,136538,144935.69
2022-03-02,179719,150672.27
2023-12-27,128834,154310.03
2023-03-08,121110,153778.17
2023-01-03,175684,149880.28
2023-04-27,154809,150747.34
2023-08-13,116819,145848.38
2023-11-06,114218,144464.94
2022-06-14,155944,154628.02
2022-08-23,143384,146945.47
2023-06-02,107261,149752.08
2022-04-01,126820,143877.7
2022-12-03,146786,160809.77
2023-08-20,148812,147757.88
2022-03-11,106194,145078.6
2022-07-30,131376,155717.0
2022-05-12,118790,135803.31
2022-02-14,175196,149257.78
2022-03-12,132832,153895.9
2023-02-09,178942,145070.81
2023-01-26,196734,158925.75
2022-08-07,107506,149456.19
2022-05-16,190493,156516.23
2022-09-18,113265,147501.78
