date,revenue_actual,revenue_predicted
2026-02-28,170731,152930.8
2024-04-29,127825,147707.22
2025-01-21,137778,132827.0
2025-06-26,132299,149489.64
2025-12-20,130442,141380.42
2025-10-05,159065,140586.5
2024-05-05,130923,151322.72
2025-03-18,146868,149986.05
2025-10-07,138901,157705.66
2025-08-23,153255,147157.98
2026-03-26,169283,151845.3
2025-03-17,182399,148734.69
2024-09-07,161054,151348.03
2026-02-22,128231,151368.75
2024-06-01,168059,152904.69
2024-06-13,167105,150872.67
2024-06-07,151370,151529.5
2025-12-30,122560,129183.14
2024-09-24,134709,145686.64
2025-04-11,141707,144460.44
2025-11-23,177542,143112.06
2025-09-23,111184,145928.27
2025-07-07,162832,151263.97
2024-05-31,123835,154533.08
2024-05-20,169175,145847.9
2024-11-17,151228,145004.97
2024-06-16,154940,144804.17
2025-12-19,119695,145874.28
2025-05-05,139610,148157.42
2026-03-14,145037,149959.89
2025-03-06,150431,149372.98
2025-01-07,119230,150614.11
2025-07-20,153811,147617.44
2025-09-01,135861,157254.55
2025-07-05,140626,144780.47
2025-06-18,124379,149164.45
2025-11-18,153405,155231.97
2025-11-19,163825,144711.52
2025-02-16,148009,152168.28
2024-04-06,121207,129743.47
2024-07-14,150539,148776.02
2025-05-31,152943,152310.88
2025-10-26,158509,141383.2
2024-08-29,126004,143072.94
2025-10-17,136938,146703.6
2025-03-02,132460,147602.5
2024-10-11,142105,149550.47
2025-06-06,147175,152113.58
2025-08-22,178178,149539.5
2025-06-19,142551,146905.06
2024-11-29,139228,142672.23
2025-03-13,140701,152663.81
2025-03-19,153339,149938.7
2024-10-23,137929,145274.06
2024-11-09,144202,147211.66
2024-11-26,155828,146965.5
2024-12-17,111751,156235.86
2024-07-25,146697,139546.5
2024-08-22,142070,149971.1
2025-10-28,155115,144100.72
2025-06-13,153635,144077.47
2025-09-20,172440,148415.16
2024-07-02,136397,153448.34
2025-11-12,185902,153829.4
2025-11-14,138460,126637.96
2025-09-14,135607,131877.14
2025-09-28,160601,147554.17
2024-10-24,143703,148754.25
2024-05-29,162963,151200.81
2025-12-11,143685,154324.67
2024-06-12,141512,150136.19
2024-05-15,136995,148028.7
2025-02-28,138577,151060.81
2024-07-23,142620,148139.92
2025-05-24,134282,147188.55
2024-07-06,146143,151856.97
2026-01-31,144008,151817.08
2025-01-11,173436,147443.83
2024-04-19,162792,151840.42
2024-09-01,124607,126039.74
2026-03-23,183692,143274.23
2024-06-21,150094,146621.11
2026-02-24,141931,151236.73
2026-01-23,154478,151895.1
2025-02-25,159706,148958.45
2025-06-04,178431,148708.62
2024-12-18,145809,130961.32
2025-02-17,116249,147874.52
2025-03-04,154062,150380.52
2025-03-14,169196,150120.6
2024-04-26,160914,150241.33
2025-11-22,142454,143475.66
2026-02-03,121534,146616.94
2025-05-26,126833,146683.45
2026-03-24,159313,148952.7
2025-04-30,134510,152546.27
2024-12-06,151543,152688.97
2025-03-30,164846,153055.16
2024-08-07,147793,152323.69
2024-09-17,157742,150952.33
2025-11-24,168504,152470.3
2024-10-31,164595,145947.02
2025-09-05,142126,132082.08
2024-06-19,152349,148986.17
2024-06-14,126515,145113.47
2026-03-15,101716,133461.66
2025-03-22,146069,151817.27
2025-03-12,155701,151363.89
2025-10-20,131404,149696.34
2024-04-27,185132,153048.1
2024-11-02,137772,146358.61
2026-01-06,153090,152434.0
2024-12-27,172776,141389.89
2025-12-16,149084,146204.27
2025-06-15,165188,151153.33
2024-12-11,155019,149220.81
2024-05-21,180185,143485.12
2025-03-31,150327,144649.94
2024-10-09,148211,153536.2
2025-04-06,145308,144687.19
2025-07-08,144302,150314.72
2025-02-09,139816,150258.44
2024-06-11,153442,147687.78
2024-03-29,145057,150810.03
2025-02-21,146910,151976.8
2026-02-15,131893,150434.16
2024-10-12,166668,146806.34
2025-02-04,160641,147427.12
2024-05-26,145769,149675.56
2025-10-16,124234,143591.6
2025-01-23,149946,150676.2
2025-01-27,129294,149504.66
2026-02-08,138802,146388.3
2026-03-08,151321,147825.19
2024-11-16,138966,145643.27
2024-06-25,132325,148493.78
2025-07-13,146699,147966.83
2025-07-09,143965,149248.86
2024-06-04,131027,138479.0
2024-10-25,125715,147829.19
2024-08-05,161296,153375.19
2024-05-10,144026,145769.39
2024-06-05,152244,149963.77
2024-10-05,200000,149533.23
2025-02-18,140564,149431.17
2024-09-08,127607,151183.95
2024-08-09,136670,151447.86
