date,hot_drink_sales_actual,hot_drink_sales_redicted
2023-04-14,122,90.9464
2022-05-29,147,111.15281
2022-10-30,130,136.6032
2022-12-22,138,140.65619
2023-05-31,111,74.44573
2022-09-24,161,85.202614
2022-03-14,80,139.11961
2022-03-23,107,136.1122
2022-05-14,145,83.56303
2022-12-09,145,160.9727
2022-12-11,156,172.69301
2023-12-12,127,148.71654
2022-03-20,111,167.03902
2023-03-10,61,82.02506
2022-07-24,31,66.51616
2022-03-28,106,128.67845
2023-04-10,93,123.5075
2022-02-03,150,113.25883
2023-08-11,34,84.32983
2022-04-29,101,127.18459
2023-01-18,78,135.75755
2023-03-07,111,108.91526
2022-09-12,105,61.3661
2023-04-29,161,114.03491
2022-07-19,13,39.014915
2022-08-09,40,31.090218
2022-10-27,100,128.5029
2022-02-09,139,123.08901
2022-08-20,18,35.87197
2022-12-30,133,162.79196
2022-12-13,138,144.52754
2022-09-17,143,116.0106
2022-02-24,141,152.91753
2022-03-07,109,65.28962
2023-03-24,134,115.382195
2022-07-12,21,42.361095
2023-01-11,142,133.69106
2022-04-12,113,69.22078
2022-01-11,157,144.114
2023-09-29,54,39.523853
2022-12-23,141,160.86989
2023-12-18,126,130.23958
2022-06-24,20,78.285576
2023-10-12,48,96.70911
2022-07-16,24,53.30135
2022-10-03,89,129.08202
2023-05-28,146,126.969444
2023-03-13,125,106.452354
2022-08-24,13,78.15136
2023-06-07,38,69.2971
2023-03-11,136,138.44759
2022-04-20,61,82.14297
2023-11-11,96,124.26823
2023-11-20,134,132.73903
2023-11-28,138,123.67662
2023-08-17,22,50.2923
2023-03-06,113,67.0371
2023-04-03,115,104.42309
2022-08-04,41,58.063347
2022-07-28,41,54.814632
2023-12-22,137,158.66002
2022-08-02,13,63.267803
2022-06-05,17,87.12635
2022-08-16,15,32.560017
2023-02-10,131,132.96503
2022-12-17,173,163.41637
2022-03-05,150,126.18732
2023-09-16,113,66.74363
2022-03-19,93,134.8541
2022-02-19,161,168.06355
2023-04-25,80,95.261566
2023-11-14,142,135.21655
2022-11-21,141,131.56552
2022-04-08,96,123.34673
2023-07-23,27,82.93043
2023-02-14,151,126.92509
2022-01-24,144,153.60152
2022-08-12,12,34.48003
2022-12-18,173,150.66457
2023-03-25,96,154.47472
2023-05-27,121,129.16321
2023-03-09,92,102.59438
2023-01-04,130,163.45924
2022-09-02,97,110.64384
2022-09-23,108,120.17129
2022-10-28,123,106.59038
2023-08-03,38,55.231503
2022-05-01,127,61.287247
2022-01-31,147,177.33647
2023-08-28,38,41.21454
2023-11-09,143,128.73
2023-03-01,108,124.74239
2022-12-01,152,137.20474
2023-02-03,126,125.67393
2022-06-15,22,59.95689
2022-12-16,129,162.3387
2023-09-25,93,64.38321
2023-06-27,33,91.22813
2022-06-08,20,48.02106
2022-03-26,140,145.33598
2022-03-21,100,110.484375
2023-06-13,23,51.902374
2022-10-14,123,136.17696
2022-11-23,140,140.95656
2023-12-28,135,159.40729
2022-02-01,133,107.64483
2023-02-27,135,149.46864
2022-09-06,128,68.78241
2023-12-19,136,127.798744
2023-02-22,128,112.78672
2023-04-13,100,74.50285
2023-07-26,18,48.60329
2022-02-25,123,121.88521
2023-08-18,40,39.88178
2023-05-03,103,74.32676
2022-12-28,79,121.10375
2023-08-23,23,45.777542
2023-03-26,106,143.0695
2022-03-18,94,129.3556
2022-01-03,157,120.78031
2023-04-16,127,142.93266
2023-05-13,160,61.83507
2023-06-20,25,51.94022
2022-03-02,88,98.984
2023-12-27,145,134.7853
2023-03-08,113,141.65614
2023-01-03,145,105.57819
2023-04-27,115,128.64276
2023-08-13,23,57.150547
2023-11-06,138,130.72922
2022-06-14,39,47.644012
2022-08-23,13,54.317116
2023-06-02,19,47.70505
2022-04-01,104,135.89073
2022-12-03,172,158.60646
2023-08-20,19,52.379086
2022-03-11,94,112.74394
2022-07-30,22,35.27654
2022-05-12,103,103.08112
2022-02-14,146,139.29759
2022-03-12,110,160.72466
2023-02-09,137,108.92381
2023-01-26,142,134.74281
2022-08-07,49,90.96482
2022-05-16,91,98.85145
2022-09-18,149,119.24606
