date,revenue_actual,revenue_predicted
2023-04-14,140830,130153.2
2022-05-29,126018,160660.66
2022-10-30,110236,159428.72
2022-12-22,137650,150942.45
2023-05-31,166462,169060.08
2022-09-24,193454,144967.92
2022-03-14,190688,152478.23
2022-03-23,101766,141386.08
2022-05-14,194142,152551.25
2022-12-09,147266,142784.42
2022-12-11,81999,118569.25
2023-12-12,101560,106153.85
2022-03-20,183442,152443.98
2023-03-10,103291,139765.33
2022-07-24,149584,147375.16
2022-03-28,116713,97630.805
2023-04-10,183555,146985.44
2022-02-03,157625,154953.16
2023-08-11,161260,152222.58
2022-04-29,199276,162230.03
2023-01-18,135095,153382.61
2023-03-07,129837,146954.97
2022-09-12,174471,145571.7
2023-04-29,179349,144350.84
2022-07-19,171570,153389.42
2022-08-09,165020,154403.48
2022-10-27,134726,149675.86
2022-02-09,197817,133725.05
2022-08-20,106436,159174.86
2022-12-30,176046,158795.8
2022-12-13,143184,152550.28
2022-09-17,172652,156151.8
2022-02-24,194083,150546.45
2022-03-07,141242,146546.77
2023-03-24,114489,149385.8
2022-07-12,158170,152295.98
2023-01-11,165215,148431.31
2022-04-12,107153,147224.11
2022-01-11,101157,132178.72
2023-09-29,166650,166684.4
2022-12-23,147711,151259.52
2023-12-18,151391,142427.38
2022-06-24,145917,150842.39
2023-10-12,71573,93626.19
2022-07-16,169214,154582.02
2022-10-03,145400,150221.86
2023-05-28,185169,162043.1
2023-03-13,184026,150759.38
2022-08-24,194165,146126.4
2023-06-07,146752,150814.23
2023-03-11,184194,155232.95
2022-04-20,147665,154324.4
2023-11-11,85650,101384.56
2023-11-20,198375,142350.98
2023-11-28,153852,146243.38
2023-08-17,195008,152427.55
2023-03-06,168988,146173.62
2023-04-03,119109,150579.08
2022-08-04,144516,141648.1
2022-07-28,160982,157847.83
2023-12-22,167164,150148.67
2022-08-02,165215,154752.95
2022-06-05,188735,147262.1
2022-08-16,177722,152537.75
2023-02-10,182037,148991.92
2022-12-17,105428,107197.67
2022-03-05,150330,157956.4
2023-09-16,142770,141168.02
2022-03-19,132857,154126.92
2022-02-19,134569,149002.05
2023-04-25,143787,160361.94
2023-11-14,196147,152598.19
2022-11-21,138807,146502.83
2022-04-08,125285,150854.78
2023-07-23,168848,146808.88
2023-02-14,163875,152877.72
2022-01-24,122778,164420.95
2022-08-12,156417,143288.62
2022-12-18,130641,144735.03
2023-03-25,181919,143641.2
2023-05-27,168937,168089.16
2023-03-09,169315,150435.56
2023-01-04,176018,138058.02
2022-09-02,76101,93034.02
2022-09-23,151601,160339.12
2022-10-28,90569,93365.4
2023-08-03,154890,157960.39
2022-05-01,102092,142385.5
2022-01-31,194351,150304.42
2023-08-28,130522,154325.67
2023-11-09,63726,93043.65
2023-03-01,143418,158696.3
2022-12-01,101093,108371.93
2023-02-03,140950,156028.2
2022-06-15,169988,150371.53
2022-12-16,184508,147104.0
2023-09-25,193301,147560.83
2023-06-27,141783,145334.44
2022-06-08,170929,139219.4
2022-03-26,183953,150202.52
2022-03-21,127461,159241.3
2023-06-13,92839,101069.06
2022-10-14,139833,139087.22
2022-11-23,176952,140988.86
2023-12-28,110904,147515.6
2022-02-01,148435,141101.25
2023-02-27,176070,166132.14
2022-09-06,105299,146612.72
2023-12-19,103686,103124.57
2023-02-22,117835,88862.87
2023-04-13,94211,80901.85
2023-07-26,123793,144855.84
2022-02-25,119914,153585.7
2023-08-18,170055,151898.22
2023-05-03,110093,159054.95
2022-12-28,131039,141628.0
2023-08-23,194643,144543.81
2023-03-26,170811,161131.36
2022-03-18,115443,85651.586
2022-01-03,151519,146324.42
2023-04-16,158127,143037.27
2023-05-13,182056,150198.25
2023-06-20,191498,152619.19
2022-03-02,142965,156307.02
2023-12-27,122521,152118.67
2023-03-08,126735,149755.36
2023-01-03,157153,137966.23
2023-04-27,106493,166253.19
2023-08-13,163338,144778.38
2023-11-06,158870,153590.72
2022-06-14,104043,98637.63
2022-08-23,113557,153644.86
2023-06-02,174808,151294.95
2022-04-01,107716,149017.11
2022-12-03,136024,139474.86
2023-08-20,187610,146221.9
2022-03-11,137178,142230.16
2022-07-30,128516,167444.16
2022-05-12,170550,150839.56
2022-02-14,140732,131896.0
2022-03-12,166831,141958.27
2023-02-09,142385,139241.77
2023-01-26,182771,152811.12
2022-08-07,180755,153203.78
2022-05-16,144678,144565.7
2022-09-18,151557,154756.44
