date,revenue_actual,revenue_predicted
2024-06-24,174981,146991.55
2024-07-10,149471,147211.84
2024-04-08,166495,144452.86
2024-04-22,140636,143507.5
2024-05-30,164780,143855.56
2024-06-02,169293,150781.34
2024-05-31,170715,143149.92
2024-07-22,148208,151429.69
2024-07-13,127628,151860.0
2024-06-08,166581,148456.14
2024-06-20,140854,145483.6
2024-05-11,134288,144560.94
2024-06-11,145310,146325.83
2024-06-03,125762,145216.84
2024-04-27,132810,137909.1
2024-05-08,130954,146080.3
2024-04-23,155199,142013.84
2024-04-15,165380,144209.86
2024-06-21,166690,142721.27
2024-05-22,143558,144135.48
2024-07-14,156918,151631.86
2024-03-31,158196,138445.25
2024-07-16,158821,149072.39
2024-05-02,127853,146637.52
2024-07-09,127194,151753.73
2024-08-10,137075,153131.12
2024-04-12,147427,143292.8
2024-04-14,116990,140336.86
