date,revenue_actual,revenue_redicted
2023-04-14,111482,149863.58
2022-05-29,116755,170104.25
2022-10-30,162425,164575.81
2022-12-22,185933,135584.38
2023-05-31,166529,145848.94
2022-09-24,132652,168076.25
2022-03-14,164158,140312.8
2022-03-23,119869,113380.65
2022-05-14,140150,140655.16
2022-12-09,136639,123788.49
2022-12-11,117266,166676.62
2023-12-12,126945,118289.14
2022-03-20,150846,165326.34
2023-03-10,136875,147332.6
2022-07-24,126022,161974.45
2022-03-28,110134,117028.1
2023-04-10,97197,90163.07
2022-02-03,182353,117099.664
2023-08-11,192578,142099.34
2022-04-29,142511,159372.78
2023-01-18,121089,99951.6
2023-03-07,146813,98913.625
2022-09-12,164415,141907.44
2023-04-29,84194,153919.05
2022-07-19,112860,147912.78
2022-08-09,139311,128402.336
2022-10-27,104448,160504.97
2022-02-09,107240,105242.164
2022-08-20,184258,158005.22
2022-12-30,103840,157536.66
2022-12-13,115308,99503.96
2022-09-17,173735,166399.94
2022-02-24,145952,171745.48
2022-03-07,188780,83542.12
2023-03-24,143465,145755.12
2022-07-12,194473,161110.98
2023-01-11,134269,138946.25
2022-04-12,106965,112614.87
2022-01-11,149631,111506.19
2023-09-29,113026,178172.28
2022-12-23,157336,164059.42
2023-12-18,155620,107942.57
2022-06-24,150798,157137.19
2023-10-12,185754,169107.94
2022-07-16,118099,187142.69
2022-10-03,164910,132843.33
2023-05-28,177275,140171.98
2023-03-13,140742,129701.1
2022-08-24,167711,168823.95
2023-06-07,195099,150957.2
2023-03-11,197156,133460.88
2022-04-20,198571,144430.9
2023-11-11,134427,181194.88
2023-11-20,173250,120296.555
2023-11-28,167881,148222.12
2023-08-17,160229,132603.58
2023-03-06,193300,125103.055
2023-04-03,147642,112311.43
2022-08-04,114656,123623.91
2022-07-28,129611,172649.31
2023-12-22,102367,130307.414
2022-08-02,96481,120391.78
2022-06-05,145060,182027.5
2022-08-16,164925,149694.45
2023-02-10,117375,116171.58
2022-12-17,140899,143845.38
2022-03-05,124195,119124.266
2023-09-16,184362,156683.56
2022-03-19,143960,148421.47
2022-02-19,155306,168734.56
2023-04-25,152957,141328.86
2023-11-14,148107,140022.75
2022-11-21,159738,128038.45
2022-04-08,131656,167696.56
2023-07-23,101869,174159.56
2023-02-14,185847,134099.98
2022-01-24,144830,102341.08
2022-08-12,194272,137431.5
2022-12-18,157371,161497.83
2023-03-25,121797,162909.22
2023-05-27,118280,167384.94
2023-03-09,141016,130828.0
2023-01-04,131339,123374.46
2022-09-02,133221,158090.95
2022-09-23,116177,160067.58
2022-10-28,171341,162381.89
2023-08-03,116212,153468.38
2022-05-01,67682,135831.12
2022-01-31,118117,128228.555
2023-08-28,126073,147455.16
2023-11-09,181643,147736.39
2023-03-01,109250,132367.34
2022-12-01,110289,144334.12
2023-02-03,115566,145238.25
2022-06-15,164339,127320.43
2022-12-16,148519,138114.38
2023-09-25,93075,112334.1
2023-06-27,119527,132304.1
2022-06-08,132655,149722.84
2022-03-26,113936,163245.7
2022-03-21,136168,154438.53
2023-06-13,152403,136792.4
2022-10-14,194687,144750.11
2022-11-23,180678,140114.88
2023-12-28,191551,181445.16
2022-02-01,136529,116211.07
2023-02-27,144255,126391.195
2022-09-06,115838,129383.83
2023-12-19,140495,145181.9
2023-02-22,109605,124078.77
2023-04-13,141729,145005.89
2023-07-26,143176,168374.6
2022-02-25,186962,156378.66
2023-08-18,199287,140846.62
2023-05-03,106300,155229.0
2022-12-28,153448,165824.45
2023-08-23,151262,138709.1
2023-03-26,108963,168391.03
2022-03-18,170243,152765.52
2022-01-03,144482,133395.78
2023-04-16,180564,182574.53
2023-05-13,108432,155310.1
2023-06-20,162926,122453.37
2022-03-02,141322,153503.44
2023-12-27,117464,113779.74
2023-03-08,74611,136368.97
2023-01-03,128162,137744.55
2023-04-27,190420,122097.24
2023-08-13,146209,178673.0
2023-11-06,190720,109690.664
2022-06-14,171850,133705.42
2022-08-23,184849,156827.67
2023-06-02,179076,138735.28
2022-04-01,186517,164344.45
2022-12-03,174051,135646.02
2023-08-20,127268,182591.6
2022-03-11,108513,128315.55
2022-07-30,155959,166135.5
2022-05-12,155442,116447.24
2022-02-14,170099,119026.664
2022-03-12,184914,155344.55
2023-02-09,161022,110787.82
2023-01-26,156410,130532.88
2022-08-07,153428,185712.56
2022-05-16,139180,144144.8
2022-09-18,138051,176352.6
