date,ice_drink_sales_actual,ice_drink_sales_predicted
2026-02-28,56,111.30219
2024-04-29,117,132.52821
2025-01-21,57,55.94453
2025-06-26,183,148.93065
2025-12-20,62,54.137924
2025-10-05,132,146.54362
2024-05-05,121,150.1667
2025-03-18,117,100.5077
2025-10-07,96,95.31508
2025-08-23,224,184.9769
2026-03-26,106,80.258995
2025-03-17,130,91.446465
2024-09-07,160,171.41002
2026-02-22,52,101.95504
2024-06-01,196,153.95964
2024-06-13,166,127.58452
2024-06-07,170,172.19116
2025-12-30,59,58.921005
2024-09-24,114,145.32806
2025-04-11,129,111.01994
2025-11-23,71,94.99815
2025-09-23,121,120.83088
2025-07-07,192,180.28497
2024-05-31,126,141.47012
2024-05-20,95,136.97006
2024-11-17,56,106.91056
2024-06-16,213,202.5187
2025-12-19,64,47.4882
2025-05-05,98,149.12152
2026-03-14,137,101.81967
2025-03-06,95,96.47669
2025-01-07,71,55.73862
2025-07-20,198,211.58665
2025-09-01,102,120.876434
2025-07-05,232,186.81235
2025-06-18,191,162.27841
2025-11-18,54,65.841774
2025-11-19,72,61.30881
2025-02-16,70,94.533264
2024-04-06,106,125.55009
2024-07-14,204,212.15916
2025-05-31,145,188.08257
2025-10-26,162,129.03568
2024-08-29,146,148.92172
2025-10-17,119,83.47393
2025-03-02,120,101.52676
2024-10-11,117,99.324646
2025-06-06,150,140.33076
2025-08-22,169,160.2354
2025-06-19,161,157.78935
2024-11-29,68,70.78042
2025-03-13,124,86.24413
2025-03-19,117,85.18599
2024-10-23,112,99.64236
2024-11-09,72,67.56876
2024-11-26,58,71.28281
2024-12-17,61,60.207024
2024-07-25,172,180.49536
2024-08-22,158,132.30382
2025-10-28,102,104.95273
2025-06-13,173,150.38156
2025-09-20,125,152.19318
2024-07-02,195,184.28522
2025-11-12,55,63.880444
2025-11-14,46,64.818405
2025-09-14,157,179.5017
2025-09-28,132,177.11594
2024-10-24,131,84.25592
2024-05-29,98,157.99646
2025-12-11,55,50.786278
2024-06-12,172,162.448
2024-05-15,99,105.5103
2025-02-28,56,71.14687
2024-07-23,179,165.50029
2025-05-24,152,195.06384
2024-07-06,199,210.1133
2026-01-31,59,59.629898
2025-01-11,73,72.35136
2024-04-19,106,101.30974
2024-09-01,136,172.1203
2026-03-23,107,96.96142
2024-06-21,194,166.88268
2026-02-24,55,79.37316
2026-01-23,69,72.52128
2025-02-25,64,78.23273
2025-06-04,185,150.86319
2024-12-18,46,50.00355
2025-02-17,54,78.19525
2025-03-04,82,104.940605
2025-03-14,106,94.78023
2024-04-26,122,126.877045
2025-11-22,67,83.3693
2026-02-03,53,88.130066
2025-05-26,86,117.7703
2026-03-24,109,105.40057
2025-04-30,97,84.47879
2024-12-06,59,53.99038
2025-03-30,144,104.32407
2024-08-07,191,156.85469
2024-09-17,87,112.12852
2025-11-24,64,91.11631
2024-10-31,105,99.50267
2025-09-05,119,135.36554
2024-06-19,176,135.52483
2024-06-14,176,194.84007
2026-03-15,115,120.25007
2025-03-22,155,114.10012
2025-03-12,100,85.89306
2025-10-20,102,116.60222
2024-04-27,166,145.01373
2024-11-02,61,81.54641
2026-01-06,43,64.044426
2024-12-27,59,52.85217
2025-12-16,55,58.75498
2025-06-15,212,201.47653
2024-12-11,65,49.44903
2024-05-21,96,119.749344
2025-03-31,85,105.59557
2024-10-09,114,99.53771
2025-04-06,120,146.3475
2025-07-08,163,175.46771
2025-02-09,62,86.40868
2024-06-11,138,117.51373
2024-03-29,112,117.32178
2025-02-21,56,87.39125
2026-02-15,60,98.65223
2024-10-12,131,104.729935
2025-02-04,72,80.909355
2024-05-26,160,190.2282
2025-10-16,100,86.12339
2025-01-23,57,70.89042
2025-01-27,57,68.51873
2026-02-08,72,79.64169
2026-03-08,135,121.50416
2024-11-16,75,70.0291
2024-06-25,170,145.63423
2025-07-13,214,238.07741
2025-07-09,181,182.77695
2024-06-04,176,142.69121
2024-10-25,104,91.101875
2024-08-05,170,183.23677
2024-05-10,105,140.08315
2024-06-05,198,150.60513
2024-10-05,144,123.31333
2025-02-18,65,77.68435
2024-09-08,131,204.18991
2024-08-09,163,177.5097
