date,month,weekday,high_temp,low_temp,weather,ブレンドコーヒー,アイスコーヒー,アメリカンコーヒー,本日のおすすめコーヒー,カフェ・ラテ,豆乳ラテ,ハニーカフェ・オレ,沖縄黒糖ラテ,カフェインレスコーヒー,カフェインレスカフェ・ラテ,ティー,アイスティー,ロイヤルミルクティー,豆乳ティー,国産みかんジュース,青森県産りんごジュース,カフェ・モカ,ココア,宇治抹茶ラテ,キッチントルコライス,ビーフシチュープレート,焼きトマトのハンバーグドリア,海老とペンネのグラタン,十六穀米のミートドリア,からあげ,フライドポテト,エビアボカドサンド,ポンレスハム＆生ハムサンド,キッチンチーズドッグ,キッチンレタスドッグ,キッチンジャーマンドッグ,ピザトースト,瀬戸内海産しらすとたらこ,ナポリタン,ice_drink_sales,hot_drink_sales,accurate_revenue,revenue
2024-03-27,3,2,12,6,2,32,16,25,49,23,38,29,32,26,26,20,35,26,34,34,35,40,47,46,81,89,65,70,77,34,28,37,44,40,46,27,39,65,60,99,81,818320,129803
2024-03-28,3,3,7,-1,1,24,39,30,47,37,27,35,70,30,34,22,22,51,32,44,29,39,37,52,61,117,96,75,86,43,27,51,59,39,38,38,39,94,94,98,114,974010,145960
2024-03-29,3,4,10,2,0,23,29,21,43,34,40,24,52,29,26,21,27,41,44,45,56,29,36,48,101,168,101,106,111,20,33,52,51,34,33,36,32,65,88,103,103,1056940,178491
2024-03-30,3,5,10,4,0,33,28,36,39,23,42,51,40,28,43,27,24,41,39,31,51,70,42,45,80,96,99,88,57,34,30,50,60,47,50,42,48,86,89,122,176,972690,143410
2024-03-31,3,6,6,-1,1,38,17,33,50,36,44,26,48,32,34,27,27,35,44,51,40,56,29,53,102,96,106,89,95,41,42,40,48,42,27,43,42,72,58,121,167,974970,170772
2024-04-01,4,0,11,4,0,32,28,31,36,38,47,28,59,36,41,29,35,31,39,44,58,43,34,34,91,65,62,76,128,36,31,54,73,32,41,36,44,97,77,92,136,959890,158679
2024-04-02,4,1,17,7,2,21,30,30,26,32,32,33,27,24,21,19,19,35,28,31,37,32,31,35,89,74,58,77,58,31,25,39,61,42,29,25,32,69,58,106,96,767260,115998
2024-04-03,4,2,10,0,0,27,34,29,38,46,45,25,48,25,32,19,39,40,42,38,37,60,32,55,101,85,102,103,86,31,24,64,52,35,44,26,47,81,93,97,125,1002130,121014
2024-04-04,4,3,13,4,0,27,36,40,39,41,25,22,24,29,41,25,34,46,40,52,52,55,27,54,64,61,86,56,86,40,33,65,41,31,29,42,54,80,62,97,104,859280,133383
2024-04-05,4,4,15,6,1,15,30,45,37,39,36,49,48,26,48,23,33,30,43,56,35,52,33,61,74,98,73,106,111,43,44,56,47,45,43,40,53,85,79,115,96,1004590,114752
2024-04-06,4,5,11,5,0,23,23,24,46,40,47,43,22,27,46,17,33,32,41,27,44,52,30,46,126,111,93,80,109,52,27,61,78,26,35,38,44,96,60,106,158,1024470,143964
2024-04-07,4,6,19,9,2,25,27,36,35,25,40,46,48,17,26,20,25,38,46,46,34,41,33,45,85,101,115,80,35,23,27,51,49,38,19,20,40,83,40,136,104,863150,139359
2024-04-08,4,0,17,8,1,32,27,24,51,28,34,40,50,36,47,21,33,46,48,37,29,42,36,44,86,122,62,102,76,29,37,46,65,36,38,25,47,80,81,114,92,959710,172397
2024-04-09,4,1,16,7,2,34,33,25,13,48,46,43,46,20,52,20,35,27,39,32,36,36,37,42,102,73,114,68,53,25,22,41,52,47,43,30,44,76,70,94,101,890000,138646
2024-04-10,4,2,12,3,2,28,31,32,42,43,32,35,44,25,29,22,25,32,30,45,21,32,39,53,96,80,96,81,58,25,26,25,46,47,36,14,39,70,51,89,92,839580,130798
2024-04-11,4,3,15,9,0,25,35,23,42,43,50,35,52,27,43,20,29,44,43,49,47,53,47,45,81,107,83,75,123,35,22,58,64,41,40,40,61,107,69,120,91,1029200,120908
