date,ice_drink_sales_actual,ice_drink_sales_predicted
2024-06-24,155,167.21844
2024-07-10,163,168.2543
2024-04-08,100,113.37254
2024-04-22,96,101.912445
2024-05-30,118,135.78455
2024-06-02,216,214.82167
2024-05-31,107,138.05374
2024-07-22,153,157.51996
2024-07-13,197,204.27985
2024-06-08,218,171.61646
2024-06-20,159,155.18776
2024-05-11,122,137.50975
2024-06-11,158,168.68512
2024-06-03,189,150.33113
2024-04-27,174,119.55648
2024-05-08,98,124.90758
2024-04-23,123,110.49726
2024-04-15,124,96.57456
2024-06-21,155,172.26346
2024-05-22,113,136.17976
2024-07-14,171,203.65085
2024-03-31,112,108.433784
2024-07-16,167,175.68687
2024-05-02,106,129.57437
2024-07-09,184,169.45488
2024-08-10,219,192.98907
2024-04-12,141,114.66333
2024-04-14,122,145.79863
