date,revenue_actual,revenue_predicted
2023-04-14,181198,145029.97
2022-05-29,161700,153085.23
2022-10-30,170650,148809.81
2022-12-22,148699,156823.55
2023-05-31,143435,146677.95
2022-09-24,147883,150491.31
2022-03-14,160537,141342.52
2022-03-23,140453,140821.03
2022-05-14,180836,146127.56
2022-12-09,171161,156189.9
2022-12-11,143598,150631.19
2023-12-12,148457,157158.56
2022-03-20,106974,120016.39
2023-03-10,128788,151409.52
2022-07-24,133666,155562.98
2022-03-28,157748,154652.02
2023-04-10,156225,144850.0
2022-02-03,143184,151364.58
2023-08-11,142220,152436.84
2022-04-29,140972,153188.86
2023-01-18,164636,137870.77
2023-03-07,143059,149726.53
2022-09-12,152145,150508.11
2023-04-29,145528,154178.12
2022-07-19,140258,148336.88
2022-08-09,107517,148028.03
2022-10-27,174791,148489.61
2022-02-09,169730,139794.39
2022-08-20,152442,153360.03
2022-12-30,138614,127634.28
2022-12-13,127081,157010.97
2022-09-17,175102,151528.66
2022-02-24,154166,141434.12
2022-03-07,147446,151320.14
2023-03-24,148800,155457.12
2022-07-12,144424,146644.75
2023-01-11,149723,151873.62
2022-04-12,167037,140971.69
2022-01-11,158648,135997.23
2023-09-29,150995,147875.73
2022-12-23,141850,146205.89
2023-12-18,109132,153554.84
2022-06-24,137078,152358.28
2023-10-12,164546,154342.7
2022-07-16,166377,149271.7
2022-10-03,184148,152967.38
2023-05-28,184858,153466.98
2023-03-13,148243,149917.1
2022-08-24,134983,147979.88
2023-06-07,146976,148394.2
2023-03-11,144672,152051.28
2022-04-20,160606,140618.34
2023-11-11,150144,153708.89
2023-11-20,127138,147112.69
2023-11-28,146115,153961.36
2023-08-17,176397,151331.7
2023-03-06,116863,117904.03
2023-04-03,131322,144642.0
2022-08-04,151973,145902.42
2022-07-28,149537,146775.55
2023-12-22,134178,147873.61
2022-08-02,154690,143213.98
2022-06-05,147863,150501.69
2022-08-16,141281,149329.78
2023-02-10,149786,146678.94
2022-12-17,151810,148308.83
2022-03-05,105468,125366.76
2023-09-16,151151,147060.48
2022-03-19,149414,155519.8
2022-02-19,141456,146438.92
2023-04-25,175452,153639.81
2023-11-14,140891,154045.6
2022-11-21,137757,146620.42
2022-04-08,124202,146693.23
2023-07-23,145321,154802.97
2023-02-14,97846,113001.14
2022-01-24,133284,153220.42
2022-08-12,139906,147331.88
2022-12-18,155493,148408.86
2023-03-25,160861,143056.08
2023-05-27,135906,154034.67
2023-03-09,141218,151171.6
2023-01-04,142833,150327.1
2022-09-02,159629,153082.42
2022-09-23,144769,147102.17
2022-10-28,101328,119944.88
2023-08-03,137618,151419.22
2022-05-01,174943,154980.98
2022-01-31,167758,155602.08
2023-08-28,135074,149841.67
2023-11-09,130323,121004.63
2023-03-01,154485,145411.77
2022-12-01,113381,128700.1
2023-02-03,135112,152155.97
2022-06-15,148094,147496.22
2022-12-16,171234,156170.08
2023-09-25,104361,125265.54
2023-06-27,116876,150079.48
2022-06-08,131899,143380.81
2022-03-26,118768,117978.195
2022-03-21,131227,119496.086
2023-06-13,145194,148994.17
2022-10-14,134240,152026.45
2022-11-23,163112,155246.6
2023-12-28,134569,127576.56
2022-02-01,135420,149991.03
2023-02-27,153041,154618.48
2022-09-06,170834,149973.03
2023-12-19,156809,154874.52
2023-02-22,115009,142403.81
2023-04-13,157394,151091.95
2023-07-26,200000,151435.11
2022-02-25,144769,156283.17
2023-08-18,140781,116037.75
2023-05-03,149660,143419.6
2022-12-28,74423,127469.625
2023-08-23,135271,150813.2
2023-03-26,153973,148064.22
2022-03-18,162342,153822.52
2022-01-03,155029,148940.83
2023-04-16,155192,155132.88
2023-05-13,119514,114284.164
2023-06-20,175745,144478.34
2022-03-02,141945,145851.5
2023-12-27,165710,156015.47
2023-03-08,168644,140787.61
2023-01-03,120986,140455.4
2023-04-27,157147,145034.34
2023-08-13,131708,153063.89
2023-11-06,133720,150154.16
2022-06-14,152863,147429.8
2022-08-23,149925,149532.78
2023-06-02,148728,146162.56
2022-04-01,161133,146985.48
2022-12-03,149372,156873.94
2023-08-20,148718,116130.84
2022-03-11,165531,151552.1
2022-07-30,153436,154647.62
2022-05-12,176277,140337.62
2022-02-14,162032,149848.9
2022-03-12,140475,154156.2
2023-02-09,146600,150849.52
2023-01-26,171072,156289.7
2022-08-07,154979,152799.3
2022-05-16,140471,146286.52
2022-09-18,147829,152131.03
