date,month,day,weekday,high_temp,low_temp,weather,ブレンドコーヒー,アイスコーヒー,アメリカンコーヒー,本日のおすすめコーヒー,カフェ・ラテ,豆乳ラテ,ハニーカフェ・オレ,沖縄黒糖ラテ,カフェインレスコーヒー,カフェインレスカフェ・ラテ,ティー,アイスティー,ロイヤルミルクティー,豆乳ティー,国産みかんジュース,青森県産りんごジュース,カフェ・モカ,ココア,宇治抹茶ラテ,キッチントルコライス,ビーフシチュープレート,焼きトマトのハンバーグドリア,海老とペンネのグラタン,十六穀米のミートドリア,からあげ,フライドポテト,エビアボカドサンド,ポンレスハム＆生ハムサンド,キッチンチーズドッグ,キッチンレタスドッグ,キッチンジャーマンドッグ,ピザトースト,瀬戸内海産しらすとたらこ,ナポリタン,ice_drink_sales,hot_drink_sales,accurate_revenue,revenue
2024-03-27,3,27,2,8,0,2,25,28,24,37,36,23,26,30,33,30,26,36,34,27,39,31,25,29,30,75,74,97,56,78,33,21,53,40,33,24,31,42,64,65,78,105,793900,117544
2024-03-28,3,28,3,7,0,1,28,35,42,27,32,40,40,37,28,42,27,20,44,42,44,30,54,46,61,89,96,106,79,80,48,25,60,53,49,39,45,49,85,66,111,109,978560,153410
2024-03-29,3,29,4,9,1,0,27,29,31,48,54,42,46,44,34,38,30,23,54,36,38,46,30,25,44,98,96,66,55,105,36,29,46,52,35,35,32,47,62,93,116,87,927240,150218
2024-03-30,3,30,5,7,0,2,32,21,27,35,29,37,32,41,18,45,21,15,37,22,42,29,41,33,36,86,64,81,57,61,32,27,54,57,43,37,42,41,59,35,94,117,777580,149620
2024-03-31,3,31,6,8,1,0,37,28,27,44,25,38,43,45,28,46,23,39,35,43,40,48,32,36,53,99,111,101,107,106,28,28,86,27,38,41,40,46,71,86,160,122,1032520,153100
2024-04-01,4,1,0,15,5,0,28,33,41,31,41,45,35,58,27,36,32,25,32,40,42,42,40,47,40,100,119,106,97,103,28,21,37,57,44,44,26,63,81,79,131,100,1032020,157838
2024-04-02,4,2,1,13,7,0,34,35,34,26,53,39,25,42,31,32,30,28,43,47,50,51,49,39,56,91,100,110,105,85,39,35,60,37,45,35,32,45,114,77,113,134,1037850,185483
2024-04-03,4,3,2,17,9,0,22,37,29,27,35,25,40,57,25,31,25,33,39,37,39,44,47,36,40,142,87,107,33,90,47,32,38,58,45,36,29,50,66,71,106,100,943550,147870
2024-04-04,4,4,3,13,4,0,27,26,20,36,42,36,46,45,34,48,31,22,47,35,38,40,45,37,54,83,67,126,82,66,38,37,64,61,52,44,31,41,102,96,104,130,990040,160570
2024-04-05,4,5,4,15,6,0,29,34,32,22,27,40,36,48,35,42,29,24,42,44,47,47,40,35,56,117,78,93,106,78,30,24,44,44,34,34,42,47,85,76,89,121,971650,135909
2024-04-06,4,6,5,12,2,1,32,34,19,52,26,45,36,69,27,42,18,41,24,48,44,41,50,32,44,123,113,90,75,99,44,21,38,84,43,42,38,43,72,52,129,120,1004100,135682
2024-04-07,4,7,6,16,9,1,19,31,34,39,27,29,31,54,24,47,28,24,44,47,47,33,44,36,50,105,108,71,62,99,33,39,48,67,52,36,44,50,72,98,160,114,978740,137503
2024-04-08,4,8,0,14,8,0,31,34,19,34,42,38,46,47,27,50,22,36,33,43,44,42,54,41,49,65,90,91,80,93,48,29,51,49,50,31,35,49,87,75,116,103,951100,188717
