date,revenue_actual,revenue_redicted
2023-04-14,99021,106666.83
2022-05-29,120252,179661.55
2022-10-30,132586,196039.45
2022-12-22,181740,148568.34
2023-05-31,87204,152836.36
2022-09-24,158589,160796.14
2022-03-14,116815,124917.24
2022-03-23,160322,144524.25
2022-05-14,136832,118683.66
2022-12-09,164045,163593.08
2022-12-11,182100,159840.58
2023-12-12,179113,117487.06
2022-03-20,151143,153368.92
2023-03-10,176808,134854.52
2022-07-24,198264,167114.06
2022-03-28,171933,146387.45
2023-04-10,169887,121699.766
2022-02-03,104201,141915.92
2023-08-11,133966,155961.64
2022-04-29,110716,123324.945
2023-01-18,116542,140380.36
2023-03-07,167481,91823.08
2022-09-12,119792,163961.92
2023-04-29,187418,138759.72
2022-07-19,125106,147543.27
2022-08-09,176857,165060.86
2022-10-27,183490,147407.52
2022-02-09,129551,116955.72
2022-08-20,175376,152682.02
2022-12-30,176237,157617.52
2022-12-13,140764,135648.17
2022-09-17,109687,128600.68
2022-02-24,113012,164665.98
2022-03-07,144030,136919.05
2023-03-24,153796,157819.39
2022-07-12,114026,158241.22
2023-01-11,188153,124563.27
2022-04-12,153161,136864.97
2022-01-11,81436,100082.055
2023-09-29,132546,155775.67
2022-12-23,133810,159855.98
2023-12-18,89917,120394.8
2022-06-24,102478,144638.52
2023-10-12,166217,122071.08
2022-07-16,103933,161344.47
2022-10-03,113459,140883.67
2023-05-28,120333,162776.14
2023-03-13,119544,109652.64
2022-08-24,143023,143591.16
2023-06-07,159805,140593.83
2023-03-11,125281,166902.89
2022-04-20,106381,134075.2
2023-11-11,175057,145194.62
2023-11-20,150156,161724.77
2023-11-28,138192,148260.97
2023-08-17,186685,142024.64
2023-03-06,156803,137044.97
2023-04-03,95910,87110.96
2022-08-04,151593,167634.12
2022-07-28,92725,149764.11
2023-12-22,105674,184869.02
2022-08-02,164428,157576.02
2022-06-05,154121,138177.78
2022-08-16,134627,144045.1
2023-02-10,175610,134876.97
2022-12-17,188026,138808.89
2022-03-05,184314,121452.09
2023-09-16,131629,139426.28
2022-03-19,190281,126334.83
2022-02-19,176326,157444.83
2023-04-25,130674,159165.42
2023-11-14,154629,119606.625
2022-11-21,103758,130903.78
2022-04-08,105874,108966.77
2023-07-23,171873,147798.73
2023-02-14,180055,133792.62
2022-01-24,128983,110695.47
2022-08-12,116129,127850.55
2022-12-18,140117,164993.75
2023-03-25,105746,148870.83
2023-05-27,178211,151465.42
2023-03-09,163121,116886.24
2023-01-04,116838,104637.89
2022-09-02,159250,146386.48
2022-09-23,144473,143102.42
2022-10-28,164142,150636.02
2023-08-03,115629,143326.95
2022-05-01,165953,133061.89
2022-01-31,135205,164179.75
2023-08-28,144523,155845.23
2023-11-09,109084,159611.03
2023-03-01,160942,107085.04
2022-12-01,122067,134823.56
2023-02-03,118410,154877.16
2022-06-15,122327,140263.84
2022-12-16,149160,131932.2
2023-09-25,133512,147924.36
2023-06-27,164326,158336.52
2022-06-08,130039,129490.69
2022-03-26,162165,128404.0
2022-03-21,123961,142147.0
2023-06-13,144324,123780.92
2022-10-14,134610,155939.58
2022-11-23,180417,155147.2
2023-12-28,109166,159897.27
2022-02-01,100606,113921.01
2023-02-27,126954,135995.77
2022-09-06,196582,136438.94
2023-12-19,134441,156145.48
2023-02-22,134553,128536.53
2023-04-13,128971,111928.91
2023-07-26,103654,161632.95
2022-02-25,165534,132729.58
2023-08-18,157492,157313.4
2023-05-03,125047,139247.05
2022-12-28,148870,157190.52
2023-08-23,175171,131388.77
2023-03-26,184181,136661.05
2022-03-18,104417,142101.3
2022-01-03,163667,96906.66
2023-04-16,183281,157892.11
2023-05-13,155291,162108.58
2023-06-20,99185,118267.984
2022-03-02,161587,134570.78
2023-12-27,134202,147315.86
2023-03-08,160077,126006.305
2023-01-03,131735,132623.47
2023-04-27,189434,173465.22
2023-08-13,111432,170884.69
2023-11-06,119022,134899.56
2022-06-14,117262,112593.375
2022-08-23,180459,158404.86
2023-06-02,123941,133440.39
2022-04-01,195704,141506.73
2022-12-03,128582,143722.53
2023-08-20,61239,141241.42
2022-03-11,104490,123637.0
2022-07-30,81071,157598.73
2022-05-12,123082,134005.22
2022-02-14,194367,138232.5
2022-03-12,162481,144537.02
2023-02-09,115300,137241.55
2023-01-26,74255,117702.17
2022-08-07,182360,152592.89
2022-05-16,114189,142320.1
2022-09-18,120126,163344.98
