date,month,day,weekday,high_temp,low_temp,weather,ブレンドコーヒー,アイスコーヒー,アメリカンコーヒー,本日のおすすめコーヒー,カフェ・ラテ,豆乳ラテ,ハニーカフェ・オレ,沖縄黒糖ラテ,カフェインレスコーヒー,カフェインレスカフェ・ラテ,ティー,アイスティー,ロイヤルミルクティー,豆乳ティー,国産みかんジュース,青森県産りんごジュース,カフェ・モカ,ココア,宇治抹茶ラテ,キッチントルコライス,ビーフシチュープレート,焼きトマトのハンバーグドリア,海老とペンネのグラタン,十六穀米のミートドリア,からあげ,フライドポテト,エビアボカドサンド,ポンレスハム＆生ハムサンド,キッチンチーズドッグ,キッチンレタスドッグ,キッチンジャーマンドッグ,ピザトースト,瀬戸内海産しらすとたらこ,ナポリタン,ice_drink_sales,hot_drink_sales,accurate_revenue,revenue
2024-03-27,3,27,2,14,6,2,29,27,28,39,41,26,46,49,21,28,19,22,30,43,49,40,38,38,36,102,107,79,105,100,29,25,38,53,45,30,27,28,65,98,102,82,960910,136066
2024-03-28,3,28,3,6,-2,1,26,21,33,35,51,49,40,34,33,37,25,32,17,41,44,49,51,34,48,145,105,99,102,71,39,22,56,49,45,32,31,36,71,70,113,106,1007730,183277
2024-03-29,3,29,4,14,5,1,22,33,40,36,35,40,30,48,37,35,28,28,48,44,34,48,39,44,60,63,79,61,59,92,33,31,44,66,43,20,38,54,53,92,112,91,871090,149816
2024-03-30,3,30,5,9,3,0,31,37,23,35,41,40,43,36,22,39,25,23,45,44,55,35,39,39,42,59,127,64,128,89,34,31,42,86,54,37,43,21,70,71,119,150,966960,133358
2024-03-31,3,31,6,11,2,1,21,30,23,41,37,47,47,52,30,24,20,22,30,36,36,61,54,36,43,128,101,105,114,91,32,41,71,55,37,35,42,45,80,97,113,140,1069930,157356
2024-04-01,4,1,0,18,12,0,28,26,23,46,48,31,40,61,33,27,22,30,61,47,53,46,40,37,43,106,97,96,102,49,35,34,60,31,64,56,44,39,102,86,105,116,1015350,158897
2024-04-02,4,2,1,18,9,0,26,29,22,41,43,37,36,47,32,36,23,26,37,27,46,43,24,43,46,86,110,100,63,102,42,24,58,73,58,38,43,58,70,53,100,106,959500,154679
2024-04-03,4,3,2,15,9,1,23,30,37,33,45,35,32,56,31,35,30,26,44,37,48,44,43,43,49,68,154,115,118,85,37,24,55,40,42,34,31,45,81,68,110,134,1035810,154741
2024-04-04,4,4,3,18,9,0,20,35,21,38,34,52,42,42,41,45,21,33,42,41,51,32,38,33,37,104,79,99,73,58,39,27,59,76,49,27,33,46,86,124,98,133,982190,144022
2024-04-05,4,5,4,19,9,0,37,28,32,29,52,37,44,58,35,35,27,26,38,51,31,38,35,42,43,71,108,75,82,75,30,20,77,55,38,37,26,39,93,103,130,107,961670,150630
2024-04-06,4,6,5,13,6,1,25,27,21,49,40,32,50,53,36,45,23,34,40,40,53,58,55,53,44,132,113,119,83,106,21,28,56,73,61,36,29,52,76,93,120,161,1114930,119877
