date,month,weekday,high_temp,low_temp,weather,ブレンドコーヒー,アイスコーヒー,アメリカンコーヒー,本日のおすすめコーヒー,カフェ・ラテ,豆乳ラテ,ハニーカフェ・オレ,沖縄黒糖ラテ,カフェインレスコーヒー,カフェインレスカフェ・ラテ,ティー,アイスティー,ロイヤルミルクティー,豆乳ティー,国産みかんジュース,青森県産りんごジュース,カフェ・モカ,ココア,宇治抹茶ラテ,キッチントルコライス,ビーフシチュープレート,焼きトマトのハンバーグドリア,海老とペンネのグラタン,十六穀米のミートドリア,からあげ,フライドポテト,エビアボカドサンド,ポンレスハム＆生ハムサンド,キッチンチーズドッグ,キッチンレタスドッグ,キッチンジャーマンドッグ,ピザトースト,瀬戸内海産しらすとたらこ,ナポリタン,ice_drink_sales,hot_drink_sales,accurate_revenue,revenue
2024-03-27,3,2,11,4,2,28,20,31,28,50,38,41,35,35,33,25,28,31,28,27,53,38,34,39,105,87,98,83,88,33,37,65,46,51,38,48,53,61,85,82,117,952650,115676
2024-03-28,3,3,5,-2,1,27,32,32,42,45,37,53,40,35,50,21,21,49,38,41,35,41,32,54,123,118,94,119,62,33,30,81,63,28,38,40,45,67,71,93,110,1033390,155225
2024-03-29,3,4,6,-2,0,31,28,40,27,54,40,36,59,21,47,27,26,33,50,37,52,42,39,49,88,64,55,71,105,50,30,65,62,38,26,35,39,102,60,138,104,923290,170028
2024-03-30,3,5,7,-2,1,30,26,31,44,39,22,49,59,21,36,33,33,50,41,16,33,48,33,38,109,115,93,123,76,42,37,55,37,57,33,37,59,75,61,122,174,1004660,159158
2024-03-31,3,6,8,-1,0,23,30,34,32,28,25,61,43,22,39,26,25,35,47,56,39,40,38,53,99,95,102,97,77,39,28,59,54,50,35,36,53,78,70,168,128,982980,135041
2024-04-01,4,0,15,9,0,26,23,20,39,45,41,63,48,23,34,36,37,36,40,46,49,43,36,54,85,90,87,86,107,47,18,49,37,45,33,35,56,65,91,103,106,973000,120541
2024-04-02,4,1,13,3,2,30,26,29,35,33,28,27,43,26,24,26,21,50,43,24,42,28,34,36,97,71,83,61,56,26,21,43,44,48,32,18,45,70,71,100,74,811930,144350
2024-04-03,4,2,12,4,0,35,17,36,44,37,28,45,49,31,31,24,36,38,38,52,45,34,53,50,134,83,90,74,99,31,26,64,71,48,39,27,57,84,63,123,103,1008260,156804
2024-04-04,4,3,12,3,0,30,21,23,34,41,43,48,44,29,21,27,29,34,38,42,60,42,43,63,98,96,76,116,97,40,30,70,70,36,35,36,53,78,72,120,110,1011400,160890
2024-04-05,4,4,12,6,1,27,40,20,56,40,38,48,51,23,38,24,21,35,52,43,51,34,38,58,74,86,103,88,73,25,32,69,51,38,40,44,50,93,105,90,125,994230,147192
2024-04-06,4,5,12,4,1,26,41,23,45,30,39,42,42,27,45,29,27,39,38,30,32,47,52,30,95,75,92,104,89,38,33,47,55,49,40,26,34,98,77,132,120,963110,147293
2024-04-07,4,6,16,7,0,23,37,30,57,42,42,49,53,29,37,32,44,44,49,45,45,54,33,30,89,105,73,61,95,32,22,50,56,31,35,26,58,114,90,141,115,992430,154865
2024-04-08,4,0,15,5,0,29,26,30,40,31,20,36,45,35,60,22,26,36,33,41,46,37,34,47,63,67,111,84,76,32,22,40,57,54,31,48,46,87,67,99,138,899610,122917
2024-04-09,4,1,13,6,1,25,25,28,30,32,40,34,45,30,38,25,31,52,27,44,53,57,29,42,89,102,96,80,69,31,19,61,54,35,36,33,39,68,43,90,122,900880,154378
2024-04-10,4,2,14,5,2,28,23,21,35,38,21,30,36,17,32,26,33,42,33,48,50,41,38,38,64,88,97,79,77,35,21,53,38,46,21,18,47,68,78,116,82,861560,148489
2024-04-11,4,3,11,1,0,32,27,28,29,32,36,40,37,34,39,25,31,53,35,42,33,34,37,59,115,142,113,76,69,34,30,40,42,56,42,34,49,104,95,115,93,1044890,132502
2024-04-12,4,4,17,10,0,29,38,29,29,48,41,48,42,39,44,19,29,26,26,39,65,47,40,36,93,123,83,122,80,39,31,55,53,39,52,34,49,89,84,117,131,1031730,155082
2024-04-13,4,5,18,10,2,20,27,17,35,40,50,36,46,28,33,11,34,25,28,46,41,28,33,47,92,81,61,77,86,34,28,27,57,38,28,27,50,77,81,146,118,864660,106052
2024-04-14,4,6,13,6,0,19,38,28,37,52,43,53,65,24,37,30,21,46,38,43,31,52,35,43,93,100,99,70,92,30,34,43,52,47,28,35,50,84,98,164,131,993440,156078
2024-04-15,4,0,15,6,0,19,27,32,39,47,36,55,51,38,37,15,27,40,54,29,54,42,36,36,103,93,72,84,107,44,18,58,42,48,34,41,48,80,65,118,122,965230,143045
2024-04-16,4,1,16,7,1,30,26,29,43,41,33,42,45,33,46,24,32,43,53,39,42,42,34,52,117,100,112,111,92,24,22,64,77,39,35,40,49,104,81,102,131,1083220,154645
2024-04-17,4,2,14,8,0,37,20,28,44,50,37,38,63,28,46,35,34,49,52,57,31,38,44,54,125,76,114,86,84,47,24,69,74,45,40,27,44,86,70,124,122,1048080,183296
2024-04-18,4,3,11,3,0,42,30,19,37,29,33,24,52,37,39,17,18,32,34,55,40,47,41,48,101,80,137,104,113,36,19,66,57,37,34,34,36,67,82,114,93,1020170,153436
2024-04-19,4,4,17,10,0,25,25,36,36,37,22,31,45,32,40,19,30,39,50,44,31,38,47,54,82,80,82,88,91,38,18,62,54,25,57,41,35,80,83,114,103,931490,169298
2024-04-20,4,5,13,4,0,20,31,25,46,26,29,28,50,29,26,25,29,37,53,56,34,33,35,48,107,75,75,128,80,46,23,68,50,35,44,42,43,59,70,120,164,944550,171450
2024-04-21,4,6,12,2,0,21,25,27,32,43,24,45,61,29,30,24,30,36,41,68,44,57,45,57,79,123,106,80,97,23,16,63,53,40,45,33,53,125,72,122,139,1046750,155674
2024-04-22,4,0,16,6,0,19,13,28,47,43,45,44,59,38,31,18,42,28,34,35,46,38,40,57,95,81,87,113,83,38,35,57,53,60,46,35,66,82,81,102,133,1001320,176071
2024-04-23,4,1,10,3,0,33,27,23,43,47,41,43,46,23,36,23,35,42,51,37,48,32,44,67,90,100,93,68,60,42,27,55,75,47,41,26,59,65,90,123,99,963760,153517
2024-04-24,4,2,17,8,0,22,38,25,43,31,51,35,48,29,49,24,32,39,32,46,53,27,34,41,85,125,79,90,69,50,30,66,75,42,43,41,44,70,99,129,94,995730,127492
2024-04-25,4,3,14,8,0,23,34,29,39,34,37,38,46,35,32,28,34,31,39,38,29,44,39,35,123,122,100,64,100,29,26,41,54,32,42,30,47,88,79,95,132,993720,147483
2024-04-26,4,4,19,9,1,31,32,36,39,34,26,35,43,24,35,18,35,33,50,54,42,27,43,50,129,101,49,76,114,32,17,51,67,40,37,34,47,101,98,127,86,1005590,170086
2024-04-27,4,5,12,6,0,25,31,27,33,39,51,34,54,33,45,16,27,37,35,35,46,51,46,41,106,87,78,94,98,42,26,44,50,42,41,40,51,70,70,104,155,961550,148833
2024-04-28,4,6,15,5,0,41,28,27,24,35,47,36,43,27,49,22,27,53,27,39,41,58,40,52,109,75,92,87,73,19,23,60,49,34,43,34,48,93,55,128,165,940320,143627
2024-04-29,4,0,11,2,1,20,34,35,35,29,39,33,41,40,33,22,35,43,32,45,53,35,46,49,77,82,87,67,66,45,20,48,48,34,39,25,39,62,100,104,131,882690,124535
2024-04-30,4,1,14,7,0,32,31,30,39,30,39,58,48,34,47,24,22,49,46,45,31,33,34,42,107,81,73,85,95,41,33,51,57,53,39,30,38,45,39,116,98,901940,179545
2024-05-01,5,2,16,10,0,29,30,28,35,24,42,48,47,40,29,28,27,38,43,41,42,43,57,47,84,97,97,81,72,39,43,68,40,46,37,31,47,81,111,99,124,983910,122278
2024-05-02,5,3,20,12,2,23,18,27,30,36,44,24,38,28,28,23,32,27,27,42,32,36,35,51,71,82,91,51,55,27,18,64,38,33,36,31,36,69,72,100,104,798660,137214
2024-05-03,5,4,17,8,0,31,25,40,39,29,19,50,50,21,47,19,22,39,32,43,37,59,50,42,90,105,101,90,54,21,22,56,59,29,41,31,30,103,80,90,114,957330,115122
2024-05-04,5,5,15,5,1,40,23,26,36,31,42,36,34,22,39,32,33,31,39,47,51,31,35,43,85,64,91,64,104,38,28,56,41,60,44,43,38,85,96,166,112,929820,137799
2024-05-05,5,6,22,12,0,31,32,18,33,50,23,51,52,32,40,34,31,39,41,40,52,43,41,45,92,90,93,93,64,46,33,52,44,27,38,36,56,75,62,152,119,936900,129564
2024-05-06,5,0,19,9,0,35,33,32,42,36,35,42,49,23,38,26,33,48,31,50,44,59,45,42,59,67,90,71,65,38,32,53,72,45,41,33,31,45,72,124,110,861290,153823
2024-05-07,5,1,18,11,1,35,42,41,35,39,36,46,50,19,54,23,25,40,28,30,57,47,32,50,80,115,104,116,64,35,31,50,60,59,42,42,45,86,94,97,120,1029980,145962
2024-05-08,5,2,24,15,0,28,26,18,49,34,39,39,46,31,51,32,35,35,42,41,46,50,54,54,79,61,100,90,87,37,33,59,65,56,41,28,39,86,76,109,91,965320,138655
2024-05-09,5,3,17,11,0,29,28,31,40,37,46,25,53,19,34,28,35,42,44,35,22,62,31,45,110,99,88,116,72,22,31,62,50,47,27,40,38,86,66,120,91,978240,132717
2024-05-10,5,4,23,15,0,15,18,26,35,36,33,31,38,30,36,27,14,30,49,35,50,50,42,29,112,85,79,69,85,33,33,69,49,44,34,46,32,77,102,97,121,935050,153006
2024-05-11,5,5,22,15,1,36,25,28,44,32,37,40,50,30,44,35,19,45,42,51,35,46,53,44,71,89,78,108,104,27,35,57,76,35,39,40,40,88,73,156,131,983900,141894
