date,ice_drink_sales_actual,ice_drink_sales_predicted
2003-02-27,62,58.12027
2023-09-15,117,117.64553
2014-04-09,116,105.355515
2021-02-07,57,72.44565
2012-06-03,173,165.75621
2006-07-01,205,219.65524
2004-01-28,68,58.403244
2013-11-05,64,52.978893
2017-11-08,55,55.831696
2011-06-06,157,178.05653
2005-04-25,146,109.74973
2004-02-25,60,60.33386
2006-05-22,128,120.11349
2012-02-04,71,64.79862
2013-06-20,175,172.62831
2000-12-26,71,56.40847
2002-10-31,123,119.00715
2021-09-01,75,91.07419
2010-04-25,137,132.05127
2018-12-19,53,56.2009
2015-11-28,57,64.1203
2012-09-05,90,91.984566
2013-07-22,168,174.35986
2020-12-31,53,41.267586
2000-03-21,121,111.23219
2003-12-17,63,54.014053
2016-12-28,33,44.201088
2019-10-12,130,108.21769
2014-08-11,189,172.73586
2020-09-01,103,120.428314
2016-11-25,49,56.732018
2000-04-03,125,106.76316
2009-05-22,89,96.993546
2006-03-04,149,131.1264
2002-09-29,160,147.01665
2009-01-09,41,59.686302
2016-08-08,161,173.62845
2002-10-19,132,131.13135
2004-06-19,220,210.3658
2021-11-11,56,54.095463
2019-03-31,138,137.66837
2020-09-04,135,112.81827
2006-01-19,43,48.512238
2018-04-22,152,117.71281
2014-09-09,111,113.56251
2003-11-18,52,57.400784
2010-05-22,115,137.14131
2002-11-22,58,52.700233
2023-12-23,55,66.87956
2021-04-09,101,109.43828
2007-04-18,140,109.35114
2016-12-03,55,67.01869
2007-05-02,103,111.92411
2020-10-23,101,117.97457
2014-06-18,159,170.58174
2016-09-04,123,140.0141
2012-11-18,78,64.31657
2008-03-10,124,116.87373
2015-07-11,226,215.03159
2005-07-15,161,180.36224
2010-11-23,53,53.59292
2010-09-17,107,111.440636
2004-10-31,151,135.69624
2014-11-30,72,65.5199
2019-08-16,182,178.1351
2001-09-16,105,110.42198
2000-09-24,150,141.03973
2021-07-19,168,172.75919
2023-06-17,202,209.22293
2016-01-23,53,65.15081
2011-12-31,75,61.47922
2008-04-19,144,138.15564
2019-06-03,160,176.54321
2010-09-26,119,145.00903
2007-09-26,106,95.72825
2004-03-07,140,133.18819
2009-11-24,65,53.9202
2018-08-24,178,171.66362
2023-11-11,75,72.30904
2004-07-14,164,172.74994
2011-10-13,103,109.782295
2016-07-26,181,174.39496
