date,revenue_actual,revenue_predicted
2026-10-20,140965,146419.52
2026-12-31,148165,148200.81
2024-05-22,143041,149875.34
2027-10-05,148016,146991.78
2025-01-19,147568,149071.64
2029-06-30,165668,150845.08
2025-04-25,125554,145360.7
2027-01-31,146665,147598.33
2027-10-19,185263,145360.84
2027-02-28,143178,146582.2
2026-12-19,162607,149286.84
2028-06-11,110839,131666.58
2024-06-04,142948,149664.06
2027-06-10,167595,149457.39
2024-06-05,132857,144252.22
2026-07-16,164778,149197.08
2024-07-16,135962,149311.25
2028-11-04,145705,149124.03
2027-09-10,147748,149978.14
2025-09-26,180206,148841.62
2025-11-10,145690,152174.5
2027-02-23,166452,151971.3
2028-05-30,190972,145845.1
2029-01-20,142434,149393.95
2026-11-25,139365,151550.55
2025-04-05,149899,148491.42
2025-08-04,132906,151073.88
2026-01-30,147256,149595.39
2028-12-14,151583,146448.47
2028-09-06,133271,148700.52
2028-12-27,147019,125706.016
2028-11-17,128095,146070.34
2028-10-12,133590,150045.1
2025-03-04,139464,147231.56
2029-05-08,159263,150373.72
2029-07-20,153943,149893.84
2025-11-02,135805,148552.2
2028-08-30,158626,148934.78
2029-04-03,158457,150451.44
2026-10-04,127968,149090.95
2027-08-02,146785,130511.23
2025-03-06,175198,146692.89
2025-07-11,160366,148823.33
2025-05-27,182513,148333.17
2025-04-14,141647,150938.31
2025-03-15,157095,145946.38
2026-12-12,164292,149011.5
2027-05-30,137418,150462.92
2025-11-13,148811,145648.61
2025-07-26,137939,151258.52
2026-06-17,133982,143700.17
2028-07-04,118255,149837.66
2028-03-15,112018,150720.86
2025-01-18,131264,149090.22
2028-08-07,133449,127983.71
2024-10-23,115925,144746.53
2025-12-24,158545,149760.02
2025-05-17,156724,150185.75
2028-07-12,160449,149038.22
2025-01-24,145505,148906.36
2025-10-09,142260,150269.08
2026-05-23,158323,148838.12
2029-07-18,152837,148781.62
2028-03-19,149229,148302.53
2025-09-12,166010,149910.11
2029-07-29,148900,148693.05
2025-06-08,134381,149736.16
2028-03-02,176761,150157.61
2026-03-09,162540,148558.39
2027-12-10,149366,146046.67
2028-02-07,166262,152193.17
2026-01-26,138093,132967.92
