month,weekday,high_temp,low_temp,weather,ブレンドコーヒー,アイスコーヒー,アメリカンコーヒー,本日のおすすめコーヒー,カフェ・ラテ,豆乳ラテ,ハニーカフェ・オレ,沖縄黒糖ラテ,カフェインレスコーヒー,カフェインレスカフェ・ラテ,ティー,アイスティー,ロイヤルミルクティー,豆乳ティー,国産みかんジュース,青森県産りんごジュース,カフェ・モカ,ココア,宇治抹茶ラテ,キッチントルコライス,ビーフシチュープレート,焼きトマトのハンバーグドリア,海老とペンネのグラタン,十六穀米のミートドリア,からあげ,フライドポテト,エビアボカドサンド,ポンレスハム＆生ハムサンド,キッチンチーズドッグ,キッチンレタスドッグ,キッチンジャーマンドッグ,ピザトースト,瀬戸内海産しらすとたらこ,ナポリタン,ice_drink_sales,hot_drink_sales,accurate_revenue,revenue
3,2,12,6,1,33,24,29,32,55,31,34,56,25,37,23,30,54,49,41,43,43,28,52,97,100,89,87,80,31,28,59,40,48,43,30,52,105,94,126,84,1005910,168305
3,3,5,-4,1,34,32,28,37,46,43,46,53,33,31,25,22,41,39,61,43,47,32,44,97,92,88,84,104,30,29,62,49,49,22,31,25,89,62,105,111,970710,138188
3,4,6,-2,0,32,44,33,40,44,37,41,49,30,38,20,32,43,48,42,54,52,40,50,114,132,60,96,89,24,30,41,54,39,36,28,50,53,78,131,108,992840,154279
3,5,6,-3,0,26,35,28,56,39,29,44,48,22,32,20,33,45,40,49,53,49,48,51,101,98,74,76,84,33,24,46,54,48,40,32,67,99,90,116,140,997200,164967
3,6,5,-2,0,37,17,32,53,42,46,43,51,23,17,23,20,42,40,47,50,39,37,36,93,86,113,86,88,21,23,41,45,44,43,15,45,67,61,114,156,928630,157317
4,0,15,6,2,16,31,37,33,30,36,39,40,23,33,22,24,34,30,44,44,44,35,44,82,109,71,74,76,31,31,40,48,39,42,27,43,69,88,115,89,887620,149221
4,1,13,4,0,31,26,26,27,35,40,37,59,31,44,30,30,45,52,45,46,38,35,51,121,107,50,102,77,29,31,71,50,50,35,39,34,69,69,104,139,969370,134358
4,2,15,7,0,34,33,27,48,53,32,37,27,25,52,34,26,48,57,40,43,39,45,66,108,93,102,89,100,39,29,65,50,36,42,40,52,91,73,103,117,1038320,167501
4,3,11,2,2,26,24,28,29,38,27,34,34,19,31,30,37,37,30,28,32,38,34,36,51,82,111,90,43,35,22,49,45,28,39,37,41,67,89,94,81,830550,119890
4,4,10,0,0,21,28,44,37,60,36,49,64,13,24,18,40,44,26,44,46,38,42,30,68,119,115,68,76,39,15,55,46,30,31,40,57,71,74,122,87,944150,169581
4,5,10,0,0,26,37,36,35,42,48,42,49,29,52,23,35,30,42,58,31,53,29,41,97,107,106,78,97,40,35,59,62,54,46,42,48,88,68,154,116,1029100,162799
4,6,16,8,2,31,22,23,31,47,32,36,35,34,27,17,17,29,46,37,36,40,35,20,77,98,70,94,67,34,12,35,32,30,32,32,40,72,82,130,94,835980,129065
4,0,17,9,0,35,23,33,35,39,31,32,44,26,34,25,39,37,44,51,51,54,33,65,98,102,105,89,44,39,26,36,54,49,38,45,45,63,64,121,81,939640,174480
4,1,13,5,0,23,26,32,38,38,33,59,52,29,42,27,40,33,25,45,61,39,35,53,105,126,106,129,105,24,35,46,46,37,31,41,50,67,83,118,113,1067460,116626
4,2,17,8,1,26,32,30,46,35,42,36,55,41,34,31,27,41,35,43,48,42,29,31,68,95,106,91,89,31,33,47,55,50,26,34,43,64,65,111,91,929630,182087
4,3,13,4,0,36,33,24,44,34,50,24,45,33,57,30,33,46,55,20,41,25,50,40,106,74,93,93,73,39,17,41,46,53,53,36,39,95,75,113,86,958660,170782
4,4,17,8,0,32,26,33,44,36,32,46,47,26,27,26,29,45,53,36,42,29,31,55,80,82,90,76,85,38,31,62,66,50,27,44,43,74,74,134,112,930810,155894
4,5,14,6,1,21,19,23,41,46,48,40,50,25,43,21,33,45,32,40,34,51,34,51,95,111,117,77,65,26,36,49,50,41,43,31,20,77,62,127,155,947260,127078
4,6,17,9,0,29,31,23,43,41,36,47,32,38,46,27,32,24,30,47,32,41,36,68,99,112,83,91,60,40,31,51,71,46,43,32,46,92,100,116,139,998580,159632
4,0,13,5,1,32,33,30,18,37,60,33,26,35,45,34,26,59,36,42,55,37,32,47,76,67,98,86,89,33,23,47,55,41,38,38,31,99,53,117,102,915230,115347
4,1,13,6,1,27,32,15,27,35,51,37,41,29,31,19,18,36,51,48,52,41,47,36,94,102,68,109,99,34,30,64,46,40,34,26,57,73,70,118,91,960850,123928
4,2,11,4,0,30,27,31,42,39,34,30,23,27,30,26,33,44,19,44,43,44,53,59,131,99,112,96,72,23,34,51,54,28,31,23,40,83,70,89,122,985020,155812
4,3,10,3,0,35,39,25,48,42,46,31,52,28,41,23,26,37,34,40,40,37,31,31,91,95,123,84,87,40,31,51,64,32,35,30,55,72,92,144,96,989690,160103
4,4,18,8,2,29,35,27,36,39,30,32,44,21,30,15,24,23,37,24,30,30,37,53,41,92,70,75,101,28,29,57,49,44,32,35,32,67,69,91,125,823770,123441
4,5,14,8,0,27,20,35,35,43,34,39,44,33,38,31,31,47,58,41,44,53,33,40,101,101,75,57,98,37,39,85,44,36,40,43,49,56,114,123,164,982030,161367
4,6,11,1,0,29,28,31,34,35,41,43,56,37,43,20,27,35,34,31,37,40,28,53,98,95,93,83,82,24,15,45,43,49,37,39,52,80,54,161,115,925190,138714
4,0,16,6,1,34,33,40,42,50,45,39,46,28,38,23,46,50,40,64,46,32,49,38,96,66,101,93,89,40,27,39,47,41,36,36,47,79,83,103,107,977500,140251
4,1,19,10,0,30,28,39,32,40,44,42,43,35,32,22,32,34,51,53,39,43,32,54,37,96,129,83,82,35,29,47,57,66,32,29,44,72,86,134,112,951800,171539
4,2,17,9,1,28,28,41,39,32,39,43,57,22,45,29,28,28,40,42,37,39,34,50,123,97,78,85,83,34,25,35,66,48,29,27,45,92,54,123,85,958970,147954
4,3,11,4,0,20,22,29,44,42,33,35,29,37,42,21,32,37,35,44,50,53,23,32,78,87,72,89,84,30,21,51,38,32,45,14,40,74,78,133,91,875530,114098
4,4,17,8,0,30,31,24,33,45,38,36,54,36,30,22,28,48,39,30,38,64,32,54,104,83,95,81,78,40,40,54,67,41,41,49,42,58,90,105,103,968370,157974
4,5,11,3,0,36,19,29,47,45,31,33,45,39,36,18,26,42,49,55,58,46,43,43,95,97,107,82,64,37,39,68,46,39,44,31,55,79,70,134,153,979500,159660
4,6,14,4,0,38,26,38,42,34,50,54,40,31,28,31,44,48,61,37,40,41,45,33,93,105,81,78,90,27,23,50,40,32,33,38,63,51,68,152,106,935140,144898
4,0,19,11,1,19,38,35,41,27,50,34,53,26,43,29,19,39,29,42,53,43,36,43,90,74,97,62,92,36,30,46,47,58,23,35,46,72,97,102,123,931600,159975
4,1,14,5,0,24,26,25,34,43,40,25,52,21,24,25,26,45,39,40,64,47,39,35,76,120,105,122,92,29,18,61,62,51,45,39,34,80,84,117,92,1023340,142554
5,2,17,9,0,41,25,33,47,37,41,47,45,33,37,20,34,50,42,37,39,59,50,62,117,77,74,103,123,50,27,35,48,45,34,27,52,81,86,105,130,1029260,165208
5,3,17,7,0,31,29,34,35,20,44,44,47,27,42,29,24,40,26,43,57,44,31,55,93,95,111,84,63,39,32,66,41,33,48,31,41,126,69,100,99,988410,169592
5,4,23,14,0,35,26,26,21,36,43,42,40,27,45,21,36,50,33,44,43,34,38,42,118,82,92,68,40,33,31,56,64,38,46,53,51,88,99,89,119,950310,189130
5,5,20,12,0,33,25,24,35,41,36,50,33,24,36,25,31,57,25,47,44,36,50,27,96,96,96,93,58,35,32,54,51,36,44,36,53,82,75,152,132,944540,123922
5,6,24,17,0,29,20,33,33,43,32,53,44,29,43,31,36,42,31,50,49,43,49,53,129,110,77,121,80,29,38,57,70,42,34,41,64,61,80,125,169,1047740,169056
5,0,24,17,0,22,27,36,32,37,50,34,50,34,40,34,41,35,27,57,41,49,37,39,111,108,60,85,59,49,24,53,36,42,42,47,36,88,59,139,100,930890,170420
5,1,19,9,0,24,26,28,32,34,36,36,45,37,36,31,28,32,30,32,47,51,42,50,113,131,105,93,68,42,29,51,64,56,36,27,32,77,57,88,111,994200,152695
5,2,22,15,0,41,23,31,31,35,41,35,57,28,35,27,12,36,47,28,56,42,40,42,92,90,123,52,103,52,27,61,45,52,45,41,49,79,72,111,135,976800,165780
5,3,21,14,0,26,23,41,21,38,36,35,46,29,29,23,35,19,48,43,57,34,47,54,80,110,88,91,68,43,20,61,59,41,40,35,52,65,86,117,110,948990,131772
5,4,23,15,0,30,30,31,41,55,33,55,43,29,40,23,40,39,40,38,54,40,46,45,70,120,86,99,86,42,39,36,52,40,27,39,38,98,51,89,116,970860,133382
5,5,17,7,1,31,28,22,48,39,32,48,53,27,44,14,31,36,30,45,47,43,41,46,71,110,122,87,60,34,28,61,56,44,36,20,42,81,100,131,162,983510,152419
