date,ice_drink_sales_actual,ice_drink_sales_redicted
2023-04-14,108,135.22296
2022-05-29,139,148.88622
2022-10-30,140,111.399284
2022-12-22,87,64.833115
2023-05-31,127,148.93925
2022-09-24,133,146.02052
2022-03-14,74,41.715755
2022-03-23,98,76.08319
2022-05-14,144,171.0766
2022-12-09,81,64.823166
2022-12-11,88,87.369835
2023-12-12,74,57.89289
2022-03-20,157,120.067894
2023-03-10,116,97.630264
2022-07-24,228,210.99263
2022-03-28,98,83.27153
2023-04-10,125,72.55024
2022-02-03,86,87.9548
2023-08-11,201,174.91231
2022-04-29,98,101.46527
2023-01-18,73,61.010906
2023-03-07,69,56.346703
2022-09-12,53,92.11432
2023-04-29,103,117.86519
2022-07-19,197,163.9925
2022-08-09,196,174.9146
2022-10-27,104,131.72032
2022-02-09,75,78.911835
2022-08-20,134,167.74199
2022-12-30,76,84.63122
2022-12-13,71,61.820877
2022-09-17,126,167.5518
2022-02-24,76,85.469635
2022-03-07,109,58.53766
2023-03-24,89,104.657005
2022-07-12,115,136.68417
2023-01-11,75,56.63332
2022-04-12,99,115.25694
2022-01-11,77,51.192924
2023-09-29,90,130.48206
2022-12-23,79,81.6626
2023-12-18,66,56.96151
2022-06-24,170,139.72214
2023-10-12,66,71.824844
2022-07-16,224,171.98091
2022-10-03,86,83.94868
2023-05-28,110,154.32942
2023-03-13,100,61.52427
2022-08-24,167,187.14304
2023-06-07,203,142.81369
2023-03-11,154,74.44035
2022-04-20,111,112.01696
2023-11-11,83,92.76177
2023-11-20,74,80.342804
2023-11-28,80,71.73544
2023-08-17,192,149.29463
2023-03-06,118,38.679604
2023-04-03,133,55.00286
2022-08-04,185,157.76886
2022-07-28,184,179.52733
2023-12-22,89,83.80528
2022-08-02,216,169.18782
2022-06-05,236,177.29936
2022-08-16,180,166.74796
2023-02-10,73,104.69803
2022-12-17,48,71.81196
2022-03-05,118,112.63663
2023-09-16,120,150.2524
2022-03-19,122,115.15471
2022-02-19,99,95.38901
2023-04-25,93,93.419655
2023-11-14,78,56.58354
2022-11-21,67,73.057655
2022-04-08,91,88.34938
2023-07-23,137,154.50673
2023-02-14,71,64.74135
2022-01-24,72,74.99125
2022-08-12,113,177.92091
2022-12-18,100,92.15274
2023-03-25,157,98.04011
2023-05-27,117,144.79576
2023-03-09,97,107.19379
2023-01-04,70,72.429054
2022-09-02,109,126.767586
2022-09-23,109,179.28362
2022-10-28,97,132.02061
2023-08-03,179,165.56795
2022-05-01,115,138.62169
2022-01-31,43,93.26424
2023-08-28,192,176.58405
2023-11-09,79,79.14424
2023-03-01,112,104.679054
2022-12-01,67,75.548195
2023-02-03,68,61.465305
2022-06-15,178,152.59364
2022-12-16,80,80.09189
2023-09-25,124,118.56941
2023-06-27,196,131.65181
2022-06-08,182,119.28312
2022-03-26,107,118.04107
2022-03-21,102,73.72743
2023-06-13,210,134.51637
2022-10-14,111,92.15111
2022-11-23,69,65.61505
2023-12-28,74,76.41884
2022-02-01,77,73.5924
2023-02-27,78,68.936966
2022-09-06,93,148.67717
2023-12-19,67,58.269577
2023-02-22,80,68.86675
2023-04-13,116,122.82233
2023-07-26,173,185.22498
2022-02-25,77,104.81389
2023-08-18,191,180.39647
2023-05-03,129,103.80055
2022-12-28,72,73.88982
2023-08-23,189,139.17714
2023-03-26,118,118.02301
2022-03-18,63,86.96028
2022-01-03,71,73.61769
2023-04-16,122,134.19788
2023-05-13,100,127.74109
2023-06-20,173,137.23459
2022-03-02,119,74.60921
2023-12-27,78,67.691025
2023-03-08,115,100.73502
2023-01-03,62,76.54131
2023-04-27,133,93.208786
2023-08-13,239,193.41002
2023-11-06,65,61.90232
2022-06-14,182,147.62958
2022-08-23,188,153.77168
2023-06-02,192,137.08498
2022-04-01,87,117.90144
2022-12-03,65,75.71886
2023-08-20,207,165.35158
2022-03-11,102,80.74692
2022-07-30,212,205.39609
2022-05-12,107,156.21564
2022-02-14,76,54.644318
2022-03-12,124,93.50551
2023-02-09,88,86.93032
2023-01-26,64,77.670456
2022-08-07,252,164.86919
2022-05-16,97,133.59407
2022-09-18,102,174.67761
