date,month,day,weekday,high_temp,low_temp,weather,ブレンドコーヒー,アイスコーヒー,アメリカンコーヒー,本日のおすすめコーヒー,カフェ・ラテ,豆乳ラテ,ハニーカフェ・オレ,沖縄黒糖ラテ,カフェインレスコーヒー,カフェインレスカフェ・ラテ,ティー,アイスティー,ロイヤルミルクティー,豆乳ティー,国産みかんジュース,青森県産りんごジュース,カフェ・モカ,ココア,宇治抹茶ラテ,キッチントルコライス,ビーフシチュープレート,焼きトマトのハンバーグドリア,海老とペンネのグラタン,十六穀米のミートドリア,からあげ,フライドポテト,エビアボカドサンド,ポンレスハム＆生ハムサンド,キッチンチーズドッグ,キッチンレタスドッグ,キッチンジャーマンドッグ,ピザトースト,瀬戸内海産しらすとたらこ,ナポリタン,ice_drink_sales,hot_drink_sales,accurate_revenue,revenue
2024-03-27,3,27,2,9,0,1,32,24,35,44,41,39,36,49,28,35,42,25,38,34,33,46,46,39,53,74,105,100,83,79,30,29,46,65,46,37,21,43,90,105,125,103,983530,155331
2024-03-28,3,28,3,8,2,0,34,30,27,24,39,30,33,49,36,44,29,45,39,56,39,47,53,34,50,56,59,93,60,79,24,34,62,61,34,24,22,26,109,86,94,122,891170,129185
2024-03-29,3,29,4,14,8,1,37,35,24,45,38,46,38,32,40,39,26,26,47,41,48,52,37,36,46,76,71,110,59,93,21,30,45,37,30,26,35,37,81,87,135,94,908470,161469
2024-03-30,3,30,5,11,2,0,24,25,33,54,41,42,30,42,24,35,18,39,44,25,47,36,50,34,31,109,111,78,75,100,40,32,49,55,40,33,38,39,113,94,147,131,1006530,158513
2024-03-31,3,31,6,12,4,1,30,32,42,30,36,47,51,44,30,40,24,30,40,43,32,45,39,27,54,72,108,96,80,67,29,27,59,67,36,27,38,52,45,39,161,136,888190,154217
2024-04-01,4,1,0,18,8,0,30,27,34,39,50,39,41,59,41,45,27,30,32,38,32,50,31,61,32,70,126,92,79,105,39,22,47,35,39,35,35,50,76,64,98,146,963940,148961
2024-04-02,4,2,1,19,9,0,30,27,33,40,38,48,33,44,35,54,30,25,43,60,34,30,47,28,42,72,107,77,94,57,28,27,56,49,32,39,26,48,54,82,123,98,900100,147159
2024-04-03,4,3,2,18,11,1,32,20,25,33,35,37,46,34,22,44,25,26,32,36,50,45,52,43,38,86,102,111,96,100,35,33,57,66,37,33,38,48,63,54,94,108,968450,150227
2024-04-04,4,4,3,16,9,0,33,25,31,41,40,26,49,39,29,40,5,31,36,42,39,25,39,41,45,87,75,137,71,75,37,24,47,33,50,18,40,45,76,74,107,99,915950,134066
2024-04-05,4,5,4,16,8,1,32,31,26,41,39,52,38,60,27,43,19,25,44,42,39,49,55,50,57,118,92,119,97,124,33,36,53,47,41,36,27,28,63,89,121,99,1064090,129643
